countries,hts_code,condition
2050;2110;2150;2230;2470;4890;5110,52061200,fta
2050;2110;2150;2230;2470;4890;5110,52061300,fta
2050;2110;2150;2230;2470;4890;5110,52061400,fta
2050;2110;2150;2230;2470;4890;5110,52061500,fta
2050;2110;2150;2230;2470;4890;5110,52062100,fta
2050;2110;2150;2230;2470;4890;5110,52062200,fta
2050;2110;2150;2230;2470;4890;5110,52062300,fta
2050;2110;2150;2230;2470;4890;5110,52062400,fta
2050;2110;2150;2230;2470;4890;5110,52062500,fta
2050;2110;2150;2230;2470;4890;5110,52063100,fta
2050;2110;2150;2230;2470;4890;5110,52063200,fta
2050;2110;2150;2230;2470;4890;5110,52063300,fta
2050;2110;2150;2230;2470;4890;5110,52063400,fta
2050;2110;2150;2230;2470;4890;5110,52063500,fta
2050;2110;2150;2230;2470;4890;5110,52064100,fta
2050;2110;2150;2230;2470;4890;5110,52064200,fta
2050;2110;2150;2230;2470;4890;5110,52064300,fta
2050;2110;2150;2230;2470;4890;5110,52064400,fta
2050;2110;2150;2230;2470;4890;5110,52064500,fta
2050;2110;2150;2230;2470;4890;5110,52071000,fta
2050;2110;2150;2230;2470;4890;5110,52079000,fta
2050;2110;2150;2230;2470;4890;5110,52081120,fta
2050;2110;2150;2230;2470;4890;5110,52081140,fta
2050;2110;2150;2230;2470;4890;5110,52081160,fta
2050;2110;2150;2230;2470;4890;5110,52081180,fta
2050;2110;2150;2230;2470;4890;5110,52081240,fta
2050;2110;2150;2230;2470;4890;5110,52081260,fta
2050;2110;2150;2230;2470;4890;5110,52081280,fta
2050;2110;2150;2230;2470;4890;5110,52081300,fta
2050;2110;2150;2230;2470;4890;5110,52081920,fta
2050;2110;2150;2230;2470;4890;5110,52081940,fta
2050;2110;2150;2230;2470;4890;5110,52081960,fta
2050;2110;2150;2230;2470;4890;5110,52081980,fta
2050;2110;2150;2230;2470;4890;5110,52082120,fta
2050;2110;2150;2230;2470;4890;5110,52082140,fta
2050;2110;2150;2230;2470;4890;5110,52082160,fta
2050;2110;2150;2230;2470;4890;5110,52082240,fta
2050;2110;2150;2230;2470;4890;5110,52082260,fta
2050;2110;2150;2230;2470;4890;5110,52082280,fta
2050;2110;2150;2230;2470;4890;5110,52082300,fta
2050;2110;2150;2230;2470;4890;5110,52082920,fta
2050;2110;2150;2230;2470;4890;5110,52082940,fta
2050;2110;2150;2230;2470;4890;5110,52082960,fta
2050;2110;2150;2230;2470;4890;5110,52082980,fta
2050;2110;2150;2230;2470;4890;5110,52083120,fta
2050;2110;2150;2230;2470;4890;5110,52083140,fta
2050;2110;2150;2230;2470;4890;5110,52083160,fta
2050;2110;2150;2230;2470;4890;5110,52083180,fta
2050;2110;2150;2230;2470;4890;5110,52083210,fta
2050;2110;2150;2230;2470;4890;5110,52083230,fta
2050;2110;2150;2230;2470;4890;5110,52083240,fta
2050;2110;2150;2230;2470;4890;5110,52083250,fta
2050;2110;2150;2230;2470;4890;5110,52083300,fta
2050;2110;2150;2230;2470;4890;5110,52083920,fta
2050;2110;2150;2230;2470;4890;5110,52083940,fta
2050;2110;2150;2230;2470;4890;5110,52083960,fta
2050;2110;2150;2230;2470;4890;5110,52083980,fta
2050;2110;2150;2230;2470;4890;5110,52084120,fta
2050;2110;2150;2230;2470;4890;5110,52084140,fta
2050;2110;2150;2230;2470;4890;5110,52084160,fta
2050;2110;2150;2230;2470;4890;5110,52084180,fta
2050;2110;2150;2230;2470;4890;5110,52084210,fta
2050;2110;2150;2230;2470;4890;5110,52084230,fta
2050;2110;2150;2230;2470;4890;5110,52084240,fta
2050;2110;2150;2230;2470;4890;5110,52084250,fta
2050;2110;2150;2230;2470;4890;5110,52084300,fta
2050;2110;2150;2230;2470;4890;5110,52084920,fta
2050;2110;2150;2230;2470;4890;5110,52084940,fta
2050;2110;2150;2230;2470;4890;5110,52084960,fta
2050;2110;2150;2230;2470;4890;5110,52084980,fta
2050;2110;2150;2230;2470;4890;5110,52085120,fta
2050;2110;2150;2230;2470;4890;5110,52085140,fta
2050;2110;2150;2230;2470;4890;5110,52085160,fta
2050;2110;2150;2230;2470;4890;5110,52085180,fta
2050;2110;2150;2230;2470;4890;5110,52085210,fta
2050;2110;2150;2230;2470;4890;5110,52085230,fta
2050;2110;2150;2230;2470;4890;5110,52085240,fta
2050;2110;2150;2230;2470;4890;5110,52085250,fta
2050;2110;2150;2230;2470;4890;5110,52085910,fta
2050;2110;2150;2230;2470;4890;5110,52085920,fta
2050;2110;2150;2230;2470;4890;5110,52085940,fta
2050;2110;2150;2230;2470;4890;5110,52085960,fta
2050;2110;2150;2230;2470;4890;5110,52085980,fta
2050;2110;2150;2230;2470;4890;5110,52091100,fta
2050;2110;2150;2230;2470;4890;5110,52091200,fta
2050;2110;2150;2230;2470;4890;5110,52091900,fta
2050;2110;2150;2230;2470;4890;5110,52092100,fta
2050;2110;2150;2230;2470;4890;5110,52092200,fta
2050;2110;2150;2230;2470;4890;5110,52092900,fta
2050;2110;2150;2230;2470;4890;5110,52093130,fta
2050;2110;2150;2230;2470;4890;5110,52093160,fta
2050;2110;2150;2230;2470;4890;5110,52093200,fta
2050;2110;2150;2230;2470;4890;5110,52093900,fta
2050;2110;2150;2230;2470;4890;5110,52094130,fta
2050;2110;2150;2230;2470;4890;5110,52094160,fta
2050;2110;2150;2230;2470;4890;5110,52094200,fta
2050;2110;2150;2230;2470;4890;5110,52094300,fta
2050;2110;2150;2230;2470;4890;5110,52094900,fta
2050;2110;2150;2230;2470;4890;5110,52095130,fta
2050;2110;2150;2230;2470;4890;5110,52095160,fta
2050;2110;2150;2230;2470;4890;5110,52095200,fta
2050;2110;2150;2230;2470;4890;5110,52095900,fta
2050;2110;2150;2230;2470;4890;5110,52101140,fta
2050;2110;2150;2230;2470;4890;5110,52101160,fta
2050;2110;2150;2230;2470;4890;5110,52101180,fta
2050;2110;2150;2230;2470;4890;5110,52101910,fta
2050;2110;2150;2230;2470;4890;5110,52101920,fta
2050;2110;2150;2230;2470;4890;5110,52101940,fta
2050;2110;2150;2230;2470;4890;5110,52101960,fta
2050;2110;2150;2230;2470;4890;5110,52101980,fta
2050;2110;2150;2230;2470;4890;5110,52102140,fta
2050;2110;2150;2230;2470;4890;5110,52102160,fta
2050;2110;2150;2230;2470;4890;5110,52102180,fta
2050;2110;2150;2230;2470;4890;5110,52102910,fta
2050;2110;2150;2230;2470;4890;5110,52102920,fta
2050;2110;2150;2230;2470;4890;5110,52102940,fta
2050;2110;2150;2230;2470;4890;5110,52102960,fta
2050;2110;2150;2230;2470;4890;5110,52102980,fta
2050;2110;2150;2230;2470;4890;5110,52103140,fta
2050;2110;2150;2230;2470;4890;5110,52103160,fta
2050;2110;2150;2230;2470;4890;5110,52103180,fta
2050;2110;2150;2230;2470;4890;5110,52103200,fta
2050;2110;2150;2230;2470;4890;5110,52103920,fta
2050;2110;2150;2230;2470;4890;5110,52103940,fta
2050;2110;2150;2230;2470;4890;5110,52103960,fta
2050;2110;2150;2230;2470;4890;5110,52103980,fta
2050;2110;2150;2230;2470;4890;5110,52104140,fta
2050;2110;2150;2230;2470;4890;5110,52104160,fta
2050;2110;2150;2230;2470;4890;5110,52104180,fta
2050;2110;2150;2230;2470;4890;5110,52104910,fta
2050;2110;2150;2230;2470;4890;5110,52104920,fta
2050;2110;2150;2230;2470;4890;5110,52104940,fta
2050;2110;2150;2230;2470;4890;5110,52104960,fta
2050;2110;2150;2230;2470;4890;5110,52104980,fta
2050;2110;2150;2230;2470;4890;5110,52105140,fta
2050;2110;2150;2230;2470;4890;5110,52105160,fta
2050;2110;2150;2230;2470;4890;5110,52105180,fta
2050;2110;2150;2230;2470;4890;5110,52105910,fta
2050;2110;2150;2230;2470;4890;5110,52105920,fta
2050;2110;2150;2230;2470;4890;5110,52105940,fta
2050;2110;2150;2230;2470;4890;5110,52105960,fta
2050;2110;2150;2230;2470;4890;5110,52105980,fta
2050;2110;2150;2230;2470;4890;5110,52111100,fta
2050;2110;2150;2230;2470;4890;5110,52111200,fta
2050;2110;2150;2230;2470;4890;5110,52111900,fta
2050;2110;2150;2230;2470;4890;5110,52112021,fta
2050;2110;2150;2230;2470;4890;5110,52112022,fta
2050;2110;2150;2230;2470;4890;5110,52112029,fta
2050;2110;2150;2230;2470;4890;5110,52113100,fta
2050;2110;2150;2230;2470;4890;5110,52113200,fta
2050;2110;2150;2230;2470;4890;5110,52113900,fta
2050;2110;2150;2230;2470;4890;5110,52114100,fta
2050;2110;2150;2230;2470;4890;5110,52114200,fta
2050;2110;2150;2230;2470;4890;5110,52114300,fta
2050;2110;2150;2230;2470;4890;5110,52114900,fta
2050;2110;2150;2230;2470;4890;5110,52115100,fta
2050;2110;2150;2230;2470;4890;5110,52115200,fta
2050;2110;2150;2230;2470;4890;5110,52115900,fta
2050;2110;2150;2230;2470;4890;5110,52121110,fta
2050;2110;2150;2230;2470;4890;5110,52121160,fta
2050;2110;2150;2230;2470;4890;5110,52121210,fta
2050;2110;2150;2230;2470;4890;5110,52121260,fta
2050;2110;2150;2230;2470;4890;5110,52121310,fta
2050;2110;2150;2230;2470;4890;5110,52121360,fta
2050;2110;2150;2230;2470;4890;5110,52121410,fta
2050;2110;2150;2230;2470;4890;5110,52121460,fta
2050;2110;2150;2230;2470;4890;5110,52121510,fta
2050;2110;2150;2230;2470;4890;5110,52121560,fta
2050;2110;2150;2230;2470;4890;5110,52122110,fta
2050;2110;2150;2230;2470;4890;5110,52122160,fta
2050;2110;2150;2230;2470;4890;5110,52122210,fta
2050;2110;2150;2230;2470;4890;5110,52122260,fta
2050;2110;2150;2230;2470;4890;5110,52122310,fta
2050;2110;2150;2230;2470;4890;5110,52122360,fta
2050;2110;2150;2230;2470;4890;5110,52122410,fta
2050;2110;2150;2230;2470;4890;5110,52122460,fta
2050;2110;2150;2230;2470;4890;5110,52122510,fta
2050;2110;2150;2230;2470;4890;5110,52122560,fta
2050;2110;2150;2230;2470;4890;5110,53011000,fta
2050;2110;2150;2230;2470;4890;5110,53012100,fta
2050;2110;2150;2230;2470;4890;5110,53012900,fta
2050;2110;2150;2230;2470;4890;5110,53013000,fta
2050;2110;2150;2230;2470;4890;5110,53021000,fta
2050;2110;2150;2230;2470;4890;5110,53029000,fta
2050;2110;2150;2230;2470;4890;5110,53031000,fta
2050;2110;2150;2230;2470;4890;5110,53039000,fta
2050;2110;2150;2230;2470;4890;5110,53050000,fta
2050;2110;2150;2230;2470;4890;5110,53061000,fta
2050;2110;2150;2230;2470;4890;5110,53062000,fta
2050;2110;2150;2230;2470;4890;5110,53071000,fta
2050;2110;2150;2230;2470;4890;5110,53072000,fta
2050;2110;2150;2230;2470;4890;5110,53081000,fta
2050;2110;2150;2230;2470;4890;5110,53082000,fta
2050;2110;2150;2230;2470;4890;5110,53089010,fta
2050;2110;2150;2230;2470;4890;5110,53089090,fta
2050;2110;2150;2230;2470;4890;5110,53091100,fta
2050;2110;2150;2230;2470;4890;5110,53091900,fta
2050;2110;2150;2230;2470;4890;5110,53092120,fta
2050;2110;2150;2230;2470;4890;5110,53092130,fta
2050;2110;2150;2230;2470;4890;5110,53092140,fta
2050;2110;2150;2230;2470;4890;5110,53092920,fta
2050;2110;2150;2230;2470;4890;5110,53092930,fta
2050;2110;2150;2230;2470;4890;5110,53092940,fta
2050;2110;2150;2230;2470;4890;5110,53101000,fta
2050;2110;2150;2230;2470;4890;5110,53109000,fta
2050;2110;2150;2230;2470;4890;5110,53110020,fta
2050;2110;2150;2230;2470;4890;5110,53110030,fta
2050;2110;2150;2230;2470;4890;5110,53110040,fta
2050;2110;2150;2230;2470;4890;5110,53110060,fta
2050;2110;2150;2230;2470;4890;5110,54011000,fta
2050;2110;2150;2230;2470;4890;5110,54012000,fta
2050;2110;2150;2230;2470;4890;5110,54021130,fta
2050;2110;2150;2230;2470;4890;5110,54021160,fta
2050;2110;2150;2230;2470;4890;5110,54021930,fta
2050;2110;2150;2230;2470;4890;5110,54021960,fta
2050;2110;2150;2230;2470;4890;5110,54022030,fta
2050;2110;2150;2230;2470;4890;5110,54022060,fta
2050;2110;2150;2230;2470;4890;5110,54023130,fta
2050;2110;2150;2230;2470;4890;5110,54023160,fta
2050;2110;2150;2230;2470;4890;5110,54023230,fta
2050;2110;2150;2230;2470;4890;5110,54023260,fta
2050;2110;2150;2230;2470;4890;5110,54023330,fta
2050;2110;2150;2230;2470;4890;5110,54023360,fta
2050;2110;2150;2230;2470;4890;5110,54023430,fta
2050;2110;2150;2230;2470;4890;5110,54023460,fta
2050;2110;2150;2230;2470;4890;5110,54023931,fta
2050;2110;2150;2230;2470;4890;5110,54023961,fta
2050;2110;2150;2230;2470;4890;5110,54024400,fta
2050;2110;2150;2230;2470;4890;5110,54024510,fta
2050;2110;2150;2230;2470;4890;5110,54024590,fta
2050;2110;2150;2230;2470;4890;5110,54024600,fta
2050;2110;2150;2230;2470;4890;5110,54024710,fta
2050;2110;2150;2230;2470;4890;5110,54024790,fta
2050;2110;2150;2230;2470;4890;5110,54024800,fta
2050;2110;2150;2230;2470;4890;5110,54024911,fta
2050;2110;2150;2230;2470;4890;5110,54024991,fta
2050;2110;2150;2230;2470;4890;5110,54025100,fta
2050;2110;2150;2230;2470;4890;5110,54025210,fta
2050;2110;2150;2230;2470;4890;5110,54025290,fta
2050;2110;2150;2230;2470;4890;5110,54025300,fta
2050;2110;2150;2230;2470;4890;5110,54025901,fta
2050;2110;2150;2230;2470;4890;5110,54026100,fta
2050;2110;2150;2230;2470;4890;5110,54026200,fta
2050;2110;2150;2230;2470;4890;5110,54026300,fta
2050;2110;2150;2230;2470;4890;5110,54026901,fta
2050;2110;2150;2230;2470;4890;5110,54031030,fta
2050;2110;2150;2230;2470;4890;5110,54031060,fta
2050;2110;2150;2230;2470;4890;5110,54033100,fta
2050;2110;2150;2230;2470;4890;5110,54033200,fta
2050;2110;2150;2230;2470;4890;5110,54033300,fta
2050;2110;2150;2230;2470;4890;5110,54033910,fta
2050;2110;2150;2230;2470;4890;5110,54033990,fta
2050;2110;2150;2230;2470;4890;5110,54034100,fta
2050;2110;2150;2230;2470;4890;5110,54034200,fta
2050;2110;2150;2230;2470;4890;5110,54034910,fta
2050;2110;2150;2230;2470;4890;5110,54034990,fta
2050;2110;2150;2230;2470;4890;5110,54041100,fta
2050;2110;2150;2230;2470;4890;5110,54041210,fta
2050;2110;2150;2230;2470;4890;5110,54041290,fta
2050;2110;2150;2230;2470;4890;5110,54041910,fta
2050;2110;2150;2230;2470;4890;5110,54041980,fta
2050;2110;2150;2230;2470;4890;5110,54049000,fta
2050;2110;2150;2230;2470;4890;5110,54050030,fta
2050;2110;2150;2230;2470;4890;5110,54050060,fta
2050;2110;2150;2230;2470;4890;5110,54060010,fta
2050;2110;2150;2230;2470;4890;5110,54060020,fta
2050;2110;2150;2230;2470;4890;5110,54071000,fta
2050;2110;2150;2230;2470;4890;5110,54072000,fta
2050;2110;2150;2230;2470;4890;5110,54073010,fta
2050;2110;2150;2230;2470;4890;5110,54073090,fta
2050;2110;2150;2230;2470;4890;5110,54074100,fta
2050;2110;2150;2230;2470;4890;5110,54074200,fta
2050;2110;2150;2230;2470;4890;5110,54074310,fta
2050;2110;2150;2230;2470;4890;5110,54074320,fta
2050;2110;2150;2230;2470;4890;5110,54074400,fta
2050;2110;2150;2230;2470;4890;5110,54075100,fta
2050;2110;2150;2230;2470;4890;5110,54075205,fta
2050;2110;2150;2230;2470;4890;5110,54075220,fta
2050;2110;2150;2230;2470;4890;5110,54075310,fta
2050;2110;2150;2230;2470;4890;5110,54075320,fta
2050;2110;2150;2230;2470;4890;5110,54075400,fta
2050;2110;2150;2230;2470;4890;5110,54076111,fta
2050;2110;2150;2230;2470;4890;5110,54076119,fta
2050;2110;2150;2230;2470;4890;5110,54076121,fta
2050;2110;2150;2230;2470;4890;5110,54076129,fta
2050;2110;2150;2230;2470;4890;5110,54076191,fta
2050;2110;2150;2230;2470;4890;5110,54076199,fta
2050;2110;2150;2230;2470;4890;5110,54076910,fta
2050;2110;2150;2230;2470;4890;5110,54076920,fta
2050;2110;2150;2230;2470;4890;5110,54076930,fta
2050;2110;2150;2230;2470;4890;5110,54076940,fta
2050;2110;2150;2230;2470;4890;5110,54076990,fta
2050;2110;2150;2230;2470;4890;5110,54077100,fta
2050;2110;2150;2230;2470;4890;5110,54077200,fta
2050;2110;2150;2230;2470;4890;5110,54077310,fta
2050;2110;2150;2230;2470;4890;5110,54077320,fta
2050;2110;2150;2230;2470;4890;5110,54077400,fta
2050;2110;2150;2230;2470;4890;5110,54078100,fta
2050;2110;2150;2230;2470;4890;5110,54078200,fta
2050;2110;2150;2230;2470;4890;5110,54078300,fta
2050;2110;2150;2230;2470;4890;5110,54078400,fta
2050;2110;2150;2230;2470;4890;5110,54079105,fta
2050;2110;2150;2230;2470;4890;5110,54079110,fta
2050;2110;2150;2230;2470;4890;5110,54079120,fta
2050;2110;2150;2230;2470;4890;5110,54079205,fta
