country,code
Canada,1220
Mexico,2010
Guatemala,2050
Belize,2080
El Salvador,2110
Honduras,2150
Nicaragua,2190
Costa Rica,2230
Panama,2250
the Bahamas,2360
Jamaica,2410
Haiti,2450
Dominican Republic,2470
British Virgin Islands,2482
Saint Kitts and Nevis,2483
Antigua and Barbuda,2484
Montserrat,2485
Dominica,2486
Saint Lucia,2487
Saint Vincent and the Grenadines,2488
Grenada,2489
Barbados,2720
Trinidad and Tobago,2740
Curaçao,2777
Aruba,2779
Colombia,3010
Guyana,3120
Suriname,3150
Ecuador,3310
Peru,3330
Bolivia,3350
Brazil,3510
Paraguay,3530
Ukraine,4623
Armenia,4631
Azerbaijan,4632
Georgia,4633
Kazakhstan,4634
Kyrgyzstan,4635
Moldova,4641
Uzbekistan,4644
Bosnia and Hercegovina,4793
North Macedonia,4794
Serbia,4801
Kosovo,4803
Montenegro,4804
Albania,4810
Lebanon,5040
Iraq,5050
Israel,5081
Jordan,5110
Yemen (Republic of),5210
Afghanistan,5310
Pakistan,5350
Nepal,5360
Sri Lanka,5420
Burma,5460
Cambodia,5550
Singapore,5590
Indonesia,5600
Timor-Leste,5601
Philippines,5650
Bhutan,5682
Maldives,5683
Mongolia,5740
South Korea,5800
Australia,6021
Papua New Guinea,6040
Samoa,6150
Solomon Islands,6223
Vanuatu,6224
Kiribati,6226
Tuvalu,6227
Fiji,6863
Tonga,6864
Algeria,7210
Tunisia,7230
Egypt,7290
South Sudan,7323
Mauritania,7410
Cameroon,7420
Senegal,7440
Mali,7450
Guinea,7460
Sierra Leone,7470
Côte d'Ivoire,7480
Ghana,7490
The Gambia,7500
Niger,7510
Togo,7520
Nigeria,7530
Central African Republic,7540
Gabon,7550
Chad,7560
Burkina Faso,7600
Benin,7610
Angola,7620
Congo (Brazzaville),7630
Guinea-Bissau,7642
Cape Verde,7643
Sao Tomé and Principe,7644
Liberia,7650
Congo (Kinshasa),7660
Burundi,7670
Rwanda,7690
Somalia,7700
Eritrea,7741
Ethiopia,7749
Djibouti,7770
Uganda,7780
Kenya,7790
Tanzania,7830
Mauritius,7850
Mozambique,7870
Madagascar,7880
Comoros,7890
South Africa,7910
Namibia,7920
Botswana,7930
Zambia,7940
Eswatini,7950
Zimbabwe,7960
Malawi,7970
Lesotho,7990
