old_hts10,new_hts10,effective_date,change_type,partial,action_old,action_new,nomenclature,same_date_reuse,source_doc,source_doc_sha256,source_page,source_row_id,override_id
9401612030,9401612035,2024-07-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2024-07.pdf,002d15e0dcc94ec8b3c9c652bf3c920b53b15b4d67049f02643e133e139a4149,10,484f_2024-07.pdf#r0057;484f_2024-07.pdf#r0059,NA
9401694010,9401694011,2024-07-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2024-07.pdf,002d15e0dcc94ec8b3c9c652bf3c920b53b15b4d67049f02643e133e139a4149,10,484f_2024-07.pdf#r0060;484f_2024-07.pdf#r0061,NA
9401694010,9401694015,2024-07-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2024-07.pdf,002d15e0dcc94ec8b3c9c652bf3c920b53b15b4d67049f02643e133e139a4149,10,484f_2024-07.pdf#r0060;484f_2024-07.pdf#r0062,NA
9401694030,9401694031,2024-07-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2024-07.pdf,002d15e0dcc94ec8b3c9c652bf3c920b53b15b4d67049f02643e133e139a4149,10,484f_2024-07.pdf#r0063;484f_2024-07.pdf#r0064,NA
9401694030,9401694035,2024-07-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2024-07.pdf,002d15e0dcc94ec8b3c9c652bf3c920b53b15b4d67049f02643e133e139a4149,10,484f_2024-07.pdf#r0063;484f_2024-07.pdf#r0065,NA
9802008055,NA,2024-07-01,no_successor,FALSE,Discontinued,NA,HTS,FALSE,484f_2024-07.pdf,002d15e0dcc94ec8b3c9c652bf3c920b53b15b4d67049f02643e133e139a4149,11,484f_2024-07.pdf#r0066,NA
9802008068,9802008069,2024-07-01,rename,FALSE,Discontinued,Established,HTS,FALSE,484f_2024-07.pdf,002d15e0dcc94ec8b3c9c652bf3c920b53b15b4d67049f02643e133e139a4149,11,484f_2024-07.pdf#r0067;484f_2024-07.pdf#r0068,NA
0603190195,0603190137,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,1,484f_2025-01.pdf#r0001;484f_2025-01.pdf#r0003,NA
0603190195,0603190155,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,1,484f_2025-01.pdf#r0002;484f_2025-01.pdf#r0003,NA
0603190195,0603190197,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,1,484f_2025-01.pdf#r0003;484f_2025-01.pdf#r0004,NA
