hts10,qualifying_share,source_note
8471500110,1,uncalibrated upper bound; see todo.md Phase 5
8471500150,1,uncalibrated upper bound; see todo.md Phase 5
8471801000,1,uncalibrated upper bound; see todo.md Phase 5
8471804000,1,uncalibrated upper bound; see todo.md Phase 5
8471809000,1,uncalibrated upper bound; see todo.md Phase 5
8473301140,1,uncalibrated upper bound; see todo.md Phase 5
8473301180,1,uncalibrated upper bound; see todo.md Phase 5
8473302000,1,uncalibrated upper bound; see todo.md Phase 5
8473305100,1,uncalibrated upper bound; see todo.md Phase 5
8473309100,1,uncalibrated upper bound; see todo.md Phase 5
