hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,0,66000,0
0101210020,1220,0,122200,0
0101290090,1220,0,2108463,0
0101300000,1220,1,17000,17000
0102210010,1220,0,14000,0
0102210020,1220,0,356133,0
0102210030,1220,0,25000,0
0102210050,1220,0,194500,0
0102292012,1220,0,1415689,0
0102294024,1220,1,1066800,1066800
0102294028,1220,1,1212500,1212500
0102294034,1220,1,7360,7360
0102294038,1220,1,7360,7360
0102294054,1220,1,177960,177960
0102294058,1220,0.99033442876474,517300,512300
0102294062,1220,1,58123701,58123701
0102294064,1220,1,5806374,5806374
0102294066,1220,1,9118633,9118633
0102294068,1220,1,32634876,32634876
0102294072,1220,1,85786,85786
0102294074,1220,1,229193,229193
0102294082,1220,1,3293611,3293611
0102294084,1220,1,4702668,4702668
0102390010,1220,1,3452285,3452285
0103910010,1220,0,14610212,0
0103910020,1220,0,3284348,0
0103910030,1220,0,2334642,0
0103920010,1220,0,26573184,0
0103920020,1220,0,682775,0
0103920091,1220,0,41060,0
0104100000,1220,0,5492,0
0105110040,1220,1,1344382,1344382
0105120000,1220,1,1699301,1699301
0105130000,1220,1,218311,218311
0105140000,1220,1,6706,6706
0105940000,1220,1,6985,6985
0105990000,1220,1,946159,946159
0106140000,1220,0,306113,0
0106199120,1220,0,145212,0
0106199120,2010,0,9200,0
0106199195,1220,0,328131,0
0106200000,1220,0,78676,0
0106410000,1220,0,222902,0
0106490010,1220,0,121125,0
0106490090,1220,0,229214,0
0106900110,1220,0,6165249,0
0106900120,1220,0,20005,0
0106900180,1220,0,159829,0
0106900180,2010,0,242873,0
0201101090,2010,1,11942,11942
0201105010,1220,1,3691075,3691075
0201201000,2010,1,713700,713700
0201203000,2010,1,3781193,3781193
0201205015,1220,1,1003429,1003429
0201205025,1220,1,14104224,14104224
0201205025,2010,1,3473874,3473874
0201205035,1220,1,7831282,7831282
0201205035,2010,1,8589836,8589836
0201205045,1220,1,2309949,2309949
0201205045,2010,1,9205873,9205873
0201205065,1220,1,353039,353039
0201205075,1220,1,1212969,1212969
0201205091,1220,1,1318359,1318359
0201205091,2010,1,25021991,25021991
0201208090,1220,1,3796,3796
0201208090,2010,1,1308475,1308475
0201301000,1220,1,320931,320931
0201301000,2010,1,3924144,3924144
0201303000,1220,1,4617719,4617719
0201303000,2010,1,8053767,8053767
0201305015,1220,1,615406,615406
0201305025,1220,1,22724384,22724384
0201305025,2010,1,11659210,11659210
0201305035,1220,1,37546503,37546503
0201305035,2010,1,6498573,6498573
0201305045,1220,1,43356835,43356835
0201305045,2010,1,13175919,13175919
0201305055,1220,1,9720286,9720286
0201305055,2010,1,2747472,2747472
0201305065,1220,1,12425104,12425104
0201305065,2010,1,1032530,1032530
0201305075,1220,1,14651710,14651710
0201305075,2010,1,3857834,3857834
0201305085,1220,1,21130081,21130081
0201305085,2010,1,47857350,47857350
0201308010,1220,1,17874,17874
0201308090,1220,1,5830296,5830296
0201308090,2010,1,1626217,1626217
0202201000,2010,1,10526,10526
0202205025,1220,1,147835,147835
0202205025,2010,1,19471,19471
0202205035,2010,1,108821,108821
0202205045,2010,1,72962,72962
0202205090,1220,1,716360,716360
0202205090,2010,1,712463,712463
0202208000,1220,1,2866,2866
0202208000,2010,1,247624,247624
0202300600,1220,0,0,0
0202301000,2010,1,1292305,1292305
0202303000,1220,1,982841,982841
0202303000,2010,1,4421474,4421474
0202305015,1220,1,47468,47468
0202305035,1220,1,507128,507128
0202305045,1220,1,2327673,2327673
0202305045,2010,1,709176,709176
0202305075,1220,1,997560,997560
0202305075,2010,1,220233,220233
0202305085,1220,1,1826665,1826665
0202305085,2010,1,2380975,2380975
0202308000,1220,1,2408448,2408448
0202308000,2010,1,404750,404750
0203121010,1220,1,2399500,2399500
0203121020,1220,1,10383,10383
0203121020,2010,1,39363,39363
0203129010,1220,0,6237297,0
0203129020,1220,0,3297298,0
0203192010,1220,1,210355,210355
0203192090,1220,1,2169727,2169727
0203194010,1220,0,22248748,0
0203194010,2010,0,739773,0
0203194090,1220,0,29827868,0
0203194090,2010,0,548288,0
0203221000,1220,1,124226,124226
0203229000,1220,0,1523517,0
0203229000,2010,0,42188,0
0203292000,1220,1,369522,369522
0203292000,2010,1,181880,181880
0203294000,1220,0,10046529,0
0203294000,2010,0,10972336,0
0204222090,1220,1,18411,18411
0204422020,1220,1,5851,5851
0204432000,1220,1,5734,5734
0205000000,1220,0,162077,0
0206100000,1220,0,3559592,0
0206100000,2010,0,4482752,0
0206210000,1220,0,458549,0
0206210000,2010,0,41004,0
0206220000,1220,0,82114,0
0206290000,1220,0,5993893,0
0206290000,2010,0,4668650,0
0206300000,1220,0,711969,0
0206300000,2010,0,96591,0
0206410000,1220,0,30557,0
0206410000,2010,0,3571,0
0206490000,1220,0,1212004,0
0206490000,2010,0,905676,0
0206800000,1220,0,37893,0
0207110020,1220,1,498157,498157
0207110040,1220,1,122922,122922
0207120020,1220,1,420686,420686
0207120040,1220,1,375129,375129
0207130000,1220,1,3047821,3047821
0207140040,1220,1,1351640,1351640
0207140040,2010,1,39710,39710
0207240000,1220,1,1286127,1286127
0207254000,1220,1,690463,690463
0207260000,1220,1,204203,204203
0207270020,1220,1,546368,546368
0207270040,1220,1,2967530,2967530
0207420000,1220,1,313298,313298
0207450020,1220,1,157415,157415
0207450040,1220,1,213013,213013
0208100000,1220,1,40909,40909
0208902000,1220,0,2714,0
0208909100,1220,1,125481,125481
0209100000,1220,0.997984434838419,1176345,1173974
0210110020,1220,1,146355,146355
0210120020,1220,1,7227349,7227349
0210120020,2010,1,93386,93386
0210120040,1220,1,881960,881960
0210190090,1220,1,1150185,1150185
0210190090,2010,1,192833,192833
0210200000,1220,0,140628,0
0210992000,1220,1,320979,320979
0301110090,1220,0,18505,0
0301110090,2010,0,6015,0
0301930290,2010,0,20296,0
0301990390,1220,0,77226,0
0301990390,2010,0,14017,0
0302110010,1220,0,2177,0
0302110010,2010,0,3374,0
0302110090,1220,0,185122,0
0302130013,1220,0,1949049,0
0302130014,1220,0,438485,0
0302130022,1220,0,474472,0
0302130042,1220,0,826319,0
0302140003,1220,0,51344646,0
0302210010,1220,0,12871222,0
0302210020,1220,0,5993043,0
0302210020,2010,0,576672,0
0302290110,1220,0,105388,0
0302290110,2010,0,22416,0
0302290190,1220,0,6520,0
0302290190,2010,0,125281,0
0302310000,1220,0,15145,0
0302320000,1220,0,415387,0
0302320000,2010,0,190981,0
0302340000,1220,0,1071504,0
0302350100,1220,0,64957,0
0302350100,2010,0,7281426,0
0302455000,2010,0,114698,0
0302470090,1220,0,1934714,0
0302470090,2010,0,2117,0
0302490000,2010,0,12952,0
0302510010,1220,0,146510,0
0302520000,1220,0,208190,0
0302545000,1220,0,114315,0
0302595010,1220,0,75229,0
0302845000,2010,0,16303,0
0302891120,2010,1,11799,11799
0302895010,1220,0,330051,0
0302895013,1220,0,101004,0
0302895025,1220,0,62629,0
0302895028,1220,0,131988,0
0302895028,2010,0,912640,0
0302895031,1220,0,768461,0
0302895034,1220,0,31860,0
0302895052,1220,0,371698,0
0302895055,1220,0,12346,0
0302895058,2010,0,3495002,0
0302895061,2010,0,2920608,0
0302895064,1220,0,56358,0
0302895072,1220,0,2840,0
0302895077,1220,0,443416,0
0302895077,2010,0,650765,0
0302990000,2010,0,3969,0
0303110000,1220,0,1007763,0
0303120012,1220,0,72038,0
0303120022,1220,0,85027,0
0303120032,1220,0,17969,0
0303120052,1220,0,26070,0
0303130000,1220,0,13175,0
0303140000,1220,0,338858,0
0303310010,1220,0,813147,0
0303310020,1220,0,190433,0
0303310020,2010,0,12304,0
0303310030,1220,0,333417,0
0303330000,1220,1,37000,37000
0303390110,1220,1,2933,2933
0303390110,2010,1,3364,3364
0303390195,2010,1,4760,4760
0303410000,1220,0,3828,0
0303420020,1220,0,3884,0
0303420060,2010,0,2070,0
0303440000,1220,0,7523,0
0303510000,1220,0,30462,0
0303530000,2010,1,131961,131961
0303540000,2010,0,44461,0
0303590000,2010,0,201721,0
0303650000,1220,0,26115,0
0303660000,2010,0,37876,0
0303670000,1220,0,5750,0
0303810091,2010,1,15074,15074
0303840000,1220,0,7423,0
0303840000,2010,0,6992,0
0303890004,1220,0,342556,0
0303890004,2010,0,61264,0
0303890028,1220,0,14428,0
0303890031,1220,0,109734,0
0303890037,1220,0,140307,0
0303890043,1220,0,8105,0
0303890043,2010,0,70172,0
0303890055,2010,0,22950,0
0303890058,1220,0,13889,0
0303890061,1220,0,115364,0
0303890067,2010,0,270590,0
0303890070,2010,0,56585,0
0303890080,1220,0,165848,0
0303890080,2010,0,510669,0
0303912000,1220,1,7687,7687
0303914040,1220,0,101431,0
0303914095,1220,0,6600,0
0303990000,1220,0,9238,0
0303990000,2010,0,3318,0
0304310000,2010,0,62451,0
0304330000,1220,0,2062,0
0304410010,1220,0,4497832,0
0304410090,1220,0,1553927,0
0304420000,1220,0,112255,0
0304430010,1220,0,17683,0
0304430020,1220,0,100948,0
0304430090,1220,0,1457470,0
0304440010,1220,0,10326,0
0304440015,1220,0,19526,0
0304440020,1220,0,475462,0
0304440025,1220,0,42816,0
0304490106,1220,0,1093152,0
0304490109,1220,0,125929,0
0304490115,1220,0,851030,0
0304490120,1220,0,203318,0
0304490190,1220,0,1510192,0
0304490190,2010,0,2784225,0
0304520010,1220,0,63742,0
0304520090,1220,0,39929,0
0304570000,2010,0,5550,0
0304590003,1220,0,15113,0
0304590006,1220,0,146361,0
0304590009,1220,0,11998,0
0304590020,1220,0,2186,0
0304590025,1220,0,307647,0
0304590036,1220,0,162853,0
0304590045,2010,0,6670,0
0304590091,2010,0,2026365,0
0304610000,2010,0,285660,0
0304715000,1220,0,529885,0
0304725000,1220,0,33572,0
0304751000,1220,0,92610,0
0304815010,1220,0,545382,0
0304815090,1220,0,729566,0
0304835015,1220,0,5894,0
0304835020,2010,0,3363,0
0304835025,1220,0,26432,0
0304835025,2010,0,9368,0
0304870000,1220,0,947636,0
0304891025,1220,0,3237,0
0304891090,2010,0,80530,0
0304895003,1220,0,770030,0
0304895006,1220,0,2329298,0
0304895009,1220,0,118903,0
0304895015,1220,0,2065780,0
0304895025,1220,0,19750,0
0304895030,1220,0,151088,0
0304895035,1220,0,22400,0
0304895040,1220,0,2830,0
0304895091,1220,0,401366,0
0304895091,2010,0,907854,0
0304951025,1220,0,38820,0
0304959000,1220,1,37750,37750
0304970000,2010,1,11220,11220
0304991109,1220,0,9754,0
0304991183,1220,0,4729,0
0304991190,2010,0,117963,0
0304991194,1220,0,22600,0
0304999190,1220,1,348680,348680
0304999190,2010,1,5826,5826
0305204040,1220,0,12212,0
0305320010,1220,0,353175,0
0305320090,1220,0,228650,0
0305394000,1220,0,5955,0
0305396180,1220,0,8412,0
0305410000,1220,1,21929,21929
0305420020,1220,0,21559,0
0305420050,1220,0,443108,0
0305420060,1220,0,175679,0
0305492000,1220,0,25533,0
0305494020,1220,0,23550,0
0305494045,2010,0,26354,0
0305510000,1220,0,474178,0
0305530000,1220,0,100243,0
0305590001,1220,0,11710,0
0305612000,1220,0.26255609974114974,53699,14099
0305614000,1220,0,6818,0
0305691021,1220,0,7132,0
0305691022,1220,0,182903,0
0305691029,1220,0,130480,0
0305691042,1220,0,121036,0
0305696001,1220,1,9946,9946
0306120030,1220,0,2834111,0
0306120050,1220,0,15091989,0
0306120070,1220,0,127106238,0
0306144020,1220,0,283744287,0
0306144030,1220,0,123150,0
0306144090,1220,0,7973939,0
0306144090,2010,0,470954,0
0306160003,1220,0,1345541,0
0306160009,1220,0,54535,0
0306160015,1220,0,7936,0
0306160018,1220,0,14201,0
0306160027,1220,0,19184,0
0306160040,1220,0,734229,0
0306170004,2010,0,55664,0
0306170005,2010,0,150503,0
0306170007,2010,0,56701,0
0306170008,2010,0,57798,0
0306170010,2010,0,369746,0
0306170011,2010,0,291296,0
0306170016,2010,0,11807,0
0306170017,2010,0,2041738,0
0306170019,2010,0,381517,0
0306170020,2010,0,170835,0
0306170022,2010,0,15944,0
0306170023,2010,0,46955,0
0306170041,2010,0,814076,0
0306170042,2010,0,318688,0
0306190110,2010,0,28278,0
0306320010,1220,0,73356943,0
0306334000,1220,0,466085,0
0306360020,2010,0,566667,0
0306390100,2010,0,11529,0
0306950020,1220,0,66321,0
0306990100,1220,0,79325,0
0307110020,1220,0,39476,0
0307110060,1220,0,4200518,0
0307110060,2010,0,1446541,0
0307110080,1220,0,229702,0
0307120060,2010,0,63082,0
0307210000,1220,0,3612383,0
0307210000,2010,0,64363,0
0307220000,1220,0,2396341,0
0307220000,2010,0,206725,0
0307290100,1220,0,652088,0
0307310010,1220,0,2852957,0
0307310010,2010,0,64763,0
0307320000,2010,0,79800,0
0307520000,2010,0,782370,0
0307590100,2010,0,118444,0
0307600000,2010,1,2370,2370
0307710050,1220,0,36676,0
0307710070,1220,0,1310580,0
0307710070,2010,0,130557,0
0307710090,1220,0,20433,0
0307720055,1220,0,406650,0
0307720055,2010,0,29292,0
0307790160,1220,0,200151,0
0307810000,2010,0,111013,0
0307830000,2010,0,53088,0
0307910390,1220,0,127320,0
0307910390,2010,0,3228,0
0307920190,1220,0,14999,0
0307920190,2010,0,15742,0
0307990300,2010,0,23760,0
0308110000,1220,0,288288,0
0308120000,2010,0,126377,0
0308190100,2010,0,129595,0
0308210021,1220,0,77568,0
0308210021,2010,0,39649,0
0308210029,1220,0,32250,0
0308900100,2010,0,57200,0
0401202000,1220,1,740347,740347
0401202000,2010,1,185116,185116
0401402500,1220,1,117390,117390
0401502500,2010,1,2005893,2005893
0402101000,1220,1,497315,497315
0402215000,2010,1,5750486,5750486
0402911000,2010,1,161280,161280
0402917000,2010,1,208480,208480
0402994500,2010,1,1214952,1214952
0403209000,1220,1,5221016,5221016
0403209000,2010,1,640963,640963
0404100500,1220,1,2742556,2742556
0404101500,1220,1,3139,3139
0404102000,1220,1,228537,228537
0404105090,1220,1,67468,67468
0404109000,1220,1,146327,146327
0404901000,1220,1,277636,277636
0404907000,1220,1,1475316,1475316
0404907000,2010,1,80352,80352
0405102000,1220,1,679680,679680
0405102000,2010,1,17328,17328
0405901020,1220,1,38595,38595
0405902020,2010,1,1088640,1088640
0405902040,2010,1,14987,14987
0406105800,2010,1,32944,32944
0406108400,1220,1,226862,226862
0406108400,2010,1,1145277,1145277
0406108800,1220,1,34881,34881
0406108800,2010,1,559545,559545
0406109500,1220,1,1037417,1037417
0406109500,2010,1,70646,70646
0406205300,1220,1,54645,54645
0406407000,1220,0,2589,0
0406904200,1220,1,97896,97896
0406905900,1220,1,92262,92262
0406907800,1220,1,419952,419952
0406909500,1220,1,43489,43489
0406909700,1220,1,36960,36960
0406909700,2010,1,33438,33438
0406909900,1220,1,3910855,3910855
0406909900,2010,1,157951,157951
0407110000,1220,1,280406,280406
0407190000,1220,1,2376989,2376989
0407210090,2010,1,4104368,4104368
0407290000,1220,1,355170,355170
0408190000,1220,1,9800,9800
0408910000,1220,1,39700,39700
0408990000,1220,1,390638,390638
0409000005,2010,1,69713,69713
0409000010,1220,1,123854,123854
0409000010,2010,1,182522,182522
0409000035,1220,1,1069297,1069297
0409000035,2010,1,1988903,1988903
0409000045,2010,1,390320,390320
0409000056,1220,1,33306,33306
0409000056,2010,1,924974,924974
0409000065,2010,1,201905,201905
0504000020,1220,0,877291,0
0504000060,1220,0,2262111,0
0504000060,2010,0,52269,0
0505902020,1220,1,44920,44920
0506100000,1220,0,2364,0
