hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,0,15400,0
0101210010,2010,0,0,0
0101210020,1220,0,55801,0
0101210020,2010,0,0,0
0101290010,1220,0,0,0
0101290010,2010,0,0,0
0101290090,1220,0,3145354,0
0101290090,2010,0,346551,0
0101300000,1220,0,0,0
0101300000,2010,0,0,0
0101903000,1220,0,0,0
0101903000,2010,0,0,0
0101904000,1220,0,0,0
0101904000,2010,0,0,0
0102210010,1220,0,3500,0
0102210010,2010,0,0,0
0102210020,1220,0,2372000,0
0102210020,2010,0,0,0
0102210030,1220,0,122200,0
0102210030,2010,0,0,0
0102210050,1220,0,3000,0
0102210050,2010,0,0,0
0102292011,1220,0,0,0
0102292011,2010,0,0,0
0102292012,1220,0,1783000,0
0102292012,2010,0,0,0
0102294024,1220,1,941835,941835
0102294024,2010,0,0,0
0102294028,1220,1,1211941,1211941
0102294028,2010,0,0,0
0102294034,1220,1,30682,30682
0102294034,2010,1,190059,190059
0102294038,1220,1,52524,52524
0102294038,2010,1,261460,261460
0102294054,1220,1,1865532,1865532
0102294054,2010,1,11271650,11271650
0102294058,1220,1,3135073,3135073
0102294058,2010,1,9070115,9070115
0102294062,1220,1,63617575,63617575
0102294062,2010,1,4400485,4400485
0102294064,1220,1,2861326,2861326
0102294064,2010,0,0,0
0102294066,1220,1,14157841,14157841
0102294066,2010,0,0,0
0102294068,1220,1,69755450,69755450
0102294068,2010,1,1065323,1065323
0102294072,1220,1,664967,664967
0102294072,2010,0,0,0
0102294074,1220,1,159935,159935
0102294074,2010,0,0,0
0102294082,1220,1,9269420,9269420
0102294082,2010,1,2188486,2188486
0102294084,1220,1,18743463,18743463
0102294084,2010,1,5656977,5656977
0102310010,1220,0,0,0
0102310010,2010,0,0,0
0102310020,1220,0,0,0
0102310020,2010,0,0,0
0102390010,1220,1,8678611,8678611
0102390010,2010,0,0,0
0102390024,1220,0,0,0
0102390024,2010,0,0,0
0102390028,1220,0,0,0
0102390028,2010,0,0,0
