hts10,cty_code,usmca_share
0710909100,1220,0.9931901085498904
0710909100,2010,1
0711400000,1220,1
0711906500,2010,1
0712202000,1220,1
0712204000,2010,1
0712342000,1220,1
0712391100,1220,1
0712392100,1220,1
0712904020,2010,1
0712906000,2010,1
0712906500,1220,1
0712906500,2010,1
0712907000,1220,1
0712907400,1220,1
0712908510,2010,1
0712908540,2010,1
0712908580,1220,1
0712908580,2010,1
0713101000,1220,1
0713102000,1220,1
0713102000,2010,1
0713104005,1220,1
0713104015,1220,1
0713104020,1220,1
0713104080,1220,1
0713201000,1220,1
0713202015,2010,1
0713202025,1220,1
0713202025,2010,1
0713202075,1220,1
0713202075,2010,1
0713312000,1220,1
0713322000,2010,1
0713331020,1220,1
0713332020,1220,1
0713332030,1220,1
0713332050,1220,1
0713332090,1220,1
0713332090,2010,1
0713334020,1220,1
0713391190,1220,1
0713392110,1220,1
0713392110,2010,1
0713392120,1220,1
0713392150,1220,1
0713392150,2010,1
0713392160,1220,1
0713392170,1220,1
0713392170,2010,1
0713394110,2010,1
0713394170,2010,1
0713401000,1220,1
0713402015,1220,1
0713402020,1220,1
0713402035,1220,1
0713402050,1220,1
0713402085,1220,1
0713402085,2010,1
0713501000,1220,1
0713502000,1220,1
0713502000,2010,1
0713901100,1220,1
0713906100,1220,1
0713906100,2010,1
0714201000,1220,1
0714202000,1220,1
0714301000,2010,1
0714401001,2010,1
0714501000,2010,1
0714903900,1220,1
0714903900,2010,1
0714906100,2010,1
0801110000,2010,1
0801120000,2010,1
0801190120,2010,1
0801190140,2010,1
0802120005,1220,1
0802120015,1220,1
0802320000,1220,1
0802320000,2010,1
0802520000,1220,1
0802991000,2010,1
0802991500,2010,1
0802999800,2010,1
0803101000,2010,1
0803900025,2010,1
0803900035,2010,1
0804102010,2010,1
0804102090,2010,1
0804104000,2010,1
0804106000,2010,1
0804108000,2010,1
0804204000,1220,1
0804204000,2010,1
0804206000,1220,1
0804208000,2010,1
0804302000,2010,1
0804304010,2010,1
0804304090,2010,1
0804306000,2010,1
0804400020,2010,1
0804400040,2010,0.9996903656999483
0804504075,2010,1
0804506045,2010,1
0804506055,2010,0.9992367143906906
0804506065,2010,1
0804506075,2010,1
0804508010,2010,1
0804508090,2010,1
0805100060,1220,0.541260369669626
0805100060,2010,1
0805502010,2010,1
0805502050,2010,1
0805503020,2010,1
0805503040,2010,1
0805504000,1220,0.6586968424895053
0805504000,2010,1
0806106005,2010,1
0806106015,2010,1
0806106025,2010,0.9983552487062817
0806106035,2010,1
0806106045,2010,1
0806201010,2010,1
0806201090,1220,1
0806201090,2010,1
