hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,1,143374,143374
0101210020,1220,1,35110,35110
0101290090,1220,0.9952175491914543,2417798,2406235
0101290090,2010,1,265500,265500
0102210010,1220,1,3000,3000
0102210020,1220,1,215103,215103
0102210030,1220,1,19523,19523
0102210050,1220,1,64348,64348
0102292012,1220,1,3150679,3150679
0102294024,1220,1,1041400,1041400
0102294028,1220,1,1491091,1491091
0102294054,1220,1,385626,385626
0102294058,1220,1,404916,404916
0102294062,1220,1,43221821,43221821
0102294064,1220,1,3454676,3454676
0102294066,1220,1,19990111,19990111
0102294068,1220,1,47458074,47458074
0102294072,1220,1,291676,291676
0102294074,1220,1,1345792,1345792
0102294082,1220,1,1351776,1351776
0102294084,1220,1,10675637,10675637
0102390010,1220,1,3333542,3333542
0103910010,1220,1,21967026,21967026
0103910020,1220,0.9320458492329754,2746131,2559520
0103910030,1220,1,1926662,1926662
0103920010,1220,1,31429921,31429921
0103920020,1220,1,272967,272967
0103920091,1220,1,105400,105400
0104100000,1220,1,68477,68477
0105110040,1220,1,853894,853894
0105120000,1220,1,1634413,1634413
0105130000,1220,1,271728,271728
0105140000,1220,1,14440,14440
0105990000,1220,1,511513,511513
0106130000,1220,1,2400,2400
0106140000,1220,1,470872,470872
0106199120,1220,1,18337,18337
0106199120,2010,1,44400,44400
0106199195,1220,1,395204,395204
0106200000,1220,1,13770,13770
0106390100,1220,1,14000,14000
0106410000,1220,1,69292,69292
0106490090,1220,1,354961,354961
0106900110,1220,1,687767,687767
0106900120,1220,1,11850,11850
0106900180,1220,0.8883920022528865,88775,78867
0106900180,2010,0.5646959377533275,144329,81502
0201105010,1220,1,3246137,3246137
0201201000,1220,1,11003,11003
0201201000,2010,1,699000,699000
0201203000,2010,1,3677021,3677021
0201205015,1220,1,1368655,1368655
0201205025,1220,1,17358102,17358102
0201205025,2010,1,3264018,3264018
0201205035,1220,1,5660777,5660777
0201205035,2010,1,10707549,10707549
0201205045,1220,1,2334971,2334971
0201205045,2010,1,5833970,5833970
0201205065,1220,1,716532,716532
0201205075,1220,1,597199,597199
0201205091,1220,1,1308100,1308100
0201205091,2010,1,29663607,29663607
0201208010,1220,1,630230,630230
0201208090,2010,1,1337922,1337922
0201301000,1220,1,231873,231873
0201301000,2010,1,3991478,3991478
0201303000,1220,1,2185209,2185209
0201303000,2010,1,7597081,7597081
0201305015,1220,1,784635,784635
0201305025,1220,1,17944792,17944792
0201305025,2010,1,12984299,12984299
0201305035,1220,0.9997882329153582,49516666,49506180
0201305035,2010,1,9129656,9129656
0201305045,1220,1,47338222,47338222
0201305045,2010,1,17853239,17853239
0201305055,1220,1,18702311,18702311
0201305055,2010,1,5054973,5054973
0201305065,1220,1,14880792,14880792
0201305065,2010,1,7883862,7883862
0201305075,1220,1,9601823,9601823
0201305075,2010,1,4462935,4462935
0201305085,1220,1,15389845,15389845
0201305085,2010,1,59637948,59637948
0201308010,1220,1,100147,100147
0201308090,1220,1,3661137,3661137
0201308090,2010,1,2487795,2487795
0202201000,2010,1,59647,59647
0202205025,2010,1,14271,14271
0202205035,2010,1,689997,689997
0202205045,2010,1,110203,110203
0202205090,1220,1,728090,728090
0202205090,2010,1,990905,990905
0202208000,1220,1,9742,9742
0202208000,2010,1,642166,642166
0202300600,1220,0,0,0
0202301000,2010,1,1454522,1454522
0202303000,1220,1,170119,170119
0202303000,2010,1,7576350,7576350
0202305025,1220,1,88919,88919
0202305035,1220,1,786765,786765
0202305035,2010,1,69438,69438
0202305045,1220,1,3953090,3953090
0202305045,2010,1,48426,48426
0202305055,2010,1,21065,21065
0202305065,2010,1,19038,19038
0202305075,1220,1,1031883,1031883
0202305075,2010,1,166880,166880
0202305085,1220,1,1576926,1576926
0202305085,2010,1,3007258,3007258
0202308000,1220,1,4260895,4260895
0202308000,2010,1,430040,430040
0203121010,1220,1,2242687,2242687
0203121020,1220,1,44357,44357
0203121020,2010,1,30320,30320
0203129010,1220,1,6135988,6135988
0203129020,1220,1,1597948,1597948
0203192010,1220,1,1236830,1236830
