hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,1,182116,182116
0101210020,1220,1,227893,227893
0101210020,2010,0,10000,0
0101290090,1220,0.9960717669517966,2695614,2685025
0102210010,1220,1,49000,49000
0102210020,1220,1,178454,178454
0102210030,1220,1,17928,17928
0102210050,1220,1,38500,38500
0102292012,1220,1,1384700,1384700
0102294024,1220,1,1991284,1991284
0102294028,1220,1,2480176,2480176
0102294054,1220,1,371814,371814
0102294058,1220,1,646084,646084
0102294062,1220,1,50798082,50798082
0102294064,1220,1,7599193,7599193
0102294066,1220,1,10160676,10160676
0102294068,1220,1,28578481,28578481
0102294072,1220,1,146424,146424
0102294082,1220,1,4416992,4416992
0102294084,1220,1,8734115,8734115
0102390010,1220,1,2420087,2420087
0103910010,1220,1,13555837,13555837
0103910020,1220,1,3044511,3044511
0103910030,1220,0.9408086682119423,2217943,2086660
0103920010,1220,1,27818612,27818612
0103920020,1220,1,253983,253983
0103920091,1220,1,76050,76050
0104100000,1220,1,60667,60667
0105110010,1220,1,102060,102060
0105110040,1220,1,859099,859099
0105120000,1220,1,1871853,1871853
0105130000,1220,1,156269,156269
0105990000,1220,1,780140,780140
0106140000,1220,0.9684345510143688,456195,441795
0106199120,1220,0.8184073430910445,16124,13196
0106199120,2010,0,58800,0
0106199195,1220,1,1266659,1266659
0106200000,1220,1,17032,17032
0106390100,1220,1,12000,12000
0106410000,1220,1,264966,264966
0106490090,1220,0.9651747881355932,226560,218670
0106900110,1220,1,3205609,3205609
0106900120,1220,1,74010,74010
0106900180,1220,1,134150,134150
0106900180,2010,0.4766853567516385,215444,102699
0201101090,1220,1,149527,149527
0201105010,1220,1,2709432,2709432
0201105090,1220,1,115996,115996
0201201000,1220,1,5433,5433
0201201000,2010,1,677583,677583
0201203000,2010,1,3539857,3539857
0201205015,1220,1,1564608,1564608
0201205025,1220,1,15638134,15638134
0201205025,2010,1,3514204,3514204
0201205035,1220,1,7173102,7173102
0201205035,2010,1,12326463,12326463
0201205045,1220,1,2901676,2901676
0201205045,2010,1,6914028,6914028
0201205065,1220,1,432906,432906
0201205075,1220,1,1309984,1309984
0201205091,1220,1,700299,700299
0201205091,2010,1,23401454,23401454
0201208090,2010,1,945467,945467
0201301000,1220,1,185710,185710
0201301000,2010,1,3839514,3839514
0201303000,1220,1,4347877,4347877
0201303000,2010,1,9108250,9108250
0201305015,1220,1,556473,556473
0201305025,1220,1,29975911,29975911
0201305025,2010,1,15061634,15061634
0201305035,1220,1,50652163,50652163
0201305035,2010,1,7823178,7823178
0201305045,1220,1,48168783,48168783
0201305045,2010,1,18711540,18711540
0201305055,1220,1,12529927,12529927
0201305055,2010,1,3995079,3995079
0201305065,1220,1,21475036,21475036
0201305065,2010,1,14940129,14940129
0201305075,1220,1,15919184,15919184
0201305075,2010,1,4913191,4913191
0201305085,1220,1,28376885,28376885
