hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,0.9734298624706041,81219,79061
0101210010,2010,0.7983501374885427,27275,21775
0101210020,1220,0.9258546641470538,58210,53894
0101290090,1220,0.9955312834734797,2237779,2227779
0101290090,2010,0.4411764705882353,68000,30000
0102210010,1220,1,2548,2548
0102210020,1220,1,322053,322053
0102210030,1220,1,12000,12000
0102210050,1220,1,80600,80600
0102292012,1220,1,4095200,4095200
0102294024,1220,1,856200,856200
0102294028,1220,1,1202400,1202400
0102294054,1220,1,476425,476425
0102294058,1220,1,1475303,1475303
0102294062,1220,1,45036167,45036167
0102294064,1220,1,1701359,1701359
0102294066,1220,1,16746920,16746920
0102294068,1220,1,59263291,59263291
0102294072,1220,1,46222,46222
0102294074,1220,1,154298,154298
0102294082,1220,1,10069059,10069059
0102294084,1220,1,6866275,6866275
0102390010,1220,1,5582165,5582165
0103910010,1220,1,21119002,21119002
0103910020,1220,0.9684827798096405,4335376,4198737
0103910030,1220,1,4383540,4383540
0103920010,1220,1,32971167,32971167
0103920020,1220,1,316109,316109
0103920091,1220,1,158775,158775
0104100000,1220,1,97405,97405
0105110040,1220,1,1335572,1335572
0105120000,1220,1,1441366,1441366
0105130000,1220,1,284809,284809
0105140000,1220,1,6232,6232
0105990000,1220,1,73920,73920
0106130000,1220,1,12000,12000
0106140000,1220,1,429041,429041
0106199120,1220,1,17233,17233
0106199120,2010,1,2900,2900
0106199195,1220,1,547826,547826
0106200000,1220,0,0,0
0106310000,1220,0,2300,0
0106390100,1220,0,0,0
0106410000,1220,1,61606,61606
0106490010,1220,1,977801,977801
0106490090,1220,0.9802359293262464,380792,373266
0106900110,1220,1,1127468,1127468
0106900120,1220,1,14730,14730
0106900180,1220,0.9240591945499291,122714,113395
0106900180,2010,0.7250818680044568,176809,128201
0201105010,1220,1,3379948,3379948
0201201000,1220,1,16043,16043
0201201000,2010,1,571801,571801
0201203000,2010,1,3045789,3045789
0201205015,1220,1,1334436,1334436
0201205025,1220,1,7441520,7441520
0201205025,2010,1,2160753,2160753
0201205035,1220,1,8255803,8255803
0201205035,2010,1,9141695,9141695
0201205045,1220,1,1624381,1624381
0201205045,2010,1,7136930,7136930
0201205065,1220,1,670037,670037
0201205075,1220,1,1180146,1180146
0201205091,1220,1,1147561,1147561
0201205091,2010,1,27473085,27473085
0201208010,1220,1,10763,10763
0201208090,2010,1,1667936,1667936
0201301000,1220,1,284267,284267
0201301000,2010,1,3630669,3630669
0201303000,1220,1,2722153,2722153
0201303000,2010,1,7741214,7741214
0201305015,1220,1,671833,671833
0201305025,1220,1,21580607,21580607
0201305025,2010,1,13336028,13336028
0201305035,1220,1,44414006,44414006
0201305035,2010,1,8702664,8702664
0201305045,1220,1,42257623,42257623
0201305045,2010,1,17918689,17918689
0201305055,1220,1,12823874,12823874
0201305055,2010,1,6842087,6842087
0201305065,1220,1,13943215,13943215
0201305065,2010,1,6459714,6459714
0201305075,1220,1,8577592,8577592
0201305075,2010,1,15562210,15562210
0201305085,1220,0,0,0
0201305085,2010,0,0,0
0201305097,1220,1,16340409,16340409
0201305097,2010,1,46642013,46642013
0201308010,1220,1,57771,57771
0201308090,1220,1,4189770,4189770
0201308090,2010,1,3017926,3017926
0202201000,2010,1,23848,23848
0202205025,2010,1,23300,23300
0202205035,2010,0,0,0
0202205045,2010,1,33219,33219
0202205090,1220,1,819973,819973
0202205090,2010,0.9895314176386958,756836,748913
0202208000,1220,1,20850,20850
0202208000,2010,1,254176,254176
0202300600,1220,0,0,0
0202301000,2010,1,1437090,1437090
0202303000,1220,1,515599,515599
0202303000,2010,1,5323597,5323597
0202305015,1220,1,167767,167767
0202305025,1220,1,15232,15232
0202305035,1220,1,1329668,1329668
0202305035,2010,0,0,0
0202305045,1220,1,3991290,3991290
0202305045,2010,0,0,0
0202305055,2010,0,0,0
0202305065,2010,1,29534,29534
0202305075,1220,1,1397834,1397834
0202305075,2010,1,99648,99648
0202305085,1220,0,0,0
0202305085,2010,0,0,0
0202305097,1220,1,3362740,3362740
0202305097,2010,1,3474802,3474802
0202308000,1220,0,0,0
0202308000,2010,0,0,0
0202308015,1220,1,2193,2193
0202308025,1220,1,2779394,2779394
0202308025,2010,1,44611,44611
0203121010,1220,1,2129188,2129188
0203121020,1220,1,26264,26264
0203121020,2010,1,33199,33199
0203129010,1220,1,6516418,6516418
0203129020,1220,1,1416981,1416981
0203129020,2010,1,10001,10001
0203192010,1220,1,917381,917381
0203192090,1220,1,2586490,2586490
0203194010,1220,1,19799777,19799777
0203194010,2010,1,1482500,1482500
0203194090,1220,1,28131419,28131419
0203194090,2010,1,1617089,1617089
0203221000,1220,1,241189,241189
0203229000,1220,1,1049620,1049620
0203229000,2010,1,106571,106571
0203292000,1220,1,349827,349827
0203292000,2010,1,169978,169978
0203294000,1220,1,12229722,12229722
0203294000,2010,1,10399162,10399162
0204100000,1220,1,9174,9174
0204222090,1220,1,129275,129275
0204422030,1220,0,0,0
0204432000,1220,1,32237,32237
0204500000,2010,1,360844,360844
0205000000,1220,1,141930,141930
0206100000,1220,1,5202283,5202283
0206100000,2010,1,6690536,6690536
0206210000,1220,1,390720,390720
0206210000,2010,1,168618,168618
0206220000,1220,1,144039,144039
0206290000,1220,1,7060577,7060577
0206290000,2010,1,4025269,4025269
0206300000,1220,1,807515,807515
0206300000,2010,1,185108,185108
0206410000,1220,1,38801,38801
0206410000,2010,1,2871,2871
0206490000,1220,1,1500496,1500496
0206490000,2010,1,904828,904828
0206900020,1220,0,0,0
0206900040,1220,0,0,0
0207110020,1220,1,517170,517170
0207110040,1220,1,59421,59421
0207120020,1220,1,12635,12635
0207120040,1220,1,3603,3603
0207130000,1220,1,3271751,3271751
0207140040,1220,1,1461058,1461058
0207140040,2010,1,34700,34700
0207240000,1220,1,1264601,1264601
0207254000,1220,1,281251,281251
0207260000,1220,1,1033218,1033218
0207270020,1220,1,279321,279321
0207270040,1220,1,1293826,1293826
0207420000,1220,1,498003,498003
0207450020,1220,1,251735,251735
0207450040,1220,1,173977,173977
0208100000,1220,1,66789,66789
0208902000,1220,1,25135,25135
0208909100,1220,1,86012,86012
0209100000,1220,1,1363061,1363061
0209900000,1220,1,2773,2773
0210110020,1220,1,339091,339091
0210120020,1220,1,9330309,9330309
0210120020,2010,1,43649,43649
0210120040,1220,1,1330818,1330818
0210190090,1220,1,939444,939444
0210190090,2010,1,453922,453922
0210200000,1220,1,227970,227970
0210992000,1220,1,112851,112851
0301110090,1220,1,7952,7952
0301110090,2010,0,0,0
0301920000,1220,0,0,0
0301930290,1220,1,4980,4980
0301990390,1220,1,37730,37730
0301990390,2010,1,30159,30159
0302110010,1220,0,0,0
0302110010,2010,0,0,0
0302110090,1220,1,468340,468340
0302110090,2010,0,0,0
0302130013,1220,1,2163736,2163736
0302130014,1220,1,58240,58240
0302130054,1220,1,13800,13800
0302140003,1220,1,59411880,59411880
0302190000,1220,1,10391,10391
0302210010,1220,1,7429844,7429844
0302210020,1220,0,0,0
0302210020,2010,1,27902,27902
0302290110,1220,1,165452,165452
0302290110,2010,1,216098,216098
0302290190,1220,1,2415,2415
0302290190,2010,1,241858,241858
0302320000,2010,1,664206,664206
0302350100,2010,1,5937471,5937471
0302440000,2010,1,24544,24544
0302455000,2010,1,74949,74949
0302461100,2010,1,2762,2762
0302465000,2010,1,29968,29968
0302470090,2010,1,665793,665793
0302510010,1220,1,343325,343325
0302520000,1220,1,269088,269088
0302545000,1220,1,147829,147829
0302555000,1220,1,42130,42130
0302595010,1220,1,90281,90281
0302845000,2010,1,12100,12100
0302891120,2010,1,4091,4091
0302895010,1220,1,90055,90055
0302895013,1220,1,179567,179567
0302895025,1220,1,12013,12013
0302895028,2010,1,47860,47860
0302895031,1220,1,945713,945713
0302895034,1220,0,0,0
0302895037,1220,0,0,0
0302895052,1220,1,587958,587958
0302895052,2010,0,0,0
0302895055,1220,1,22280,22280
0302895058,2010,0.9916433254841216,6652048,6596459
0302895061,2010,0.9557816839531416,1698052,1622967
0302895064,1220,1,174792,174792
0302895077,1220,1,418554,418554
0302895077,2010,0.9677970926011484,969664,938438
0302914090,1220,0,0,0
0303110000,1220,1,540419,540419
0303120012,1220,1,355732,355732
0303120022,1220,1,86006,86006
0303120032,1220,1,4810,4810
0303120052,1220,1,261532,261532
0303120062,1220,1,42900,42900
0303130000,1220,1,115630,115630
0303140000,1220,1,23984,23984
0303190100,1220,1,21000,21000
0303260000,1220,0,0,0
0303310010,1220,1,11081,11081
0303310020,1220,1,380061,380061
0303310030,1220,1,446296,446296
0303330000,1220,1,75596,75596
0303390110,1220,1,75531,75531
0303410000,1220,1,21589,21589
0303510000,1220,1,845215,845215
0303530000,2010,1,137696,137696
0303540000,2010,1,119385,119385
0303550000,2010,0,0,0
0303590000,2010,1,39650,39650
0303630010,1220,1,58304,58304
0303630090,1220,1,340006,340006
0303650000,1220,0,0,0
0303670000,1220,1,51578,51578
0303890001,1220,1,70584,70584
0303890004,1220,0.919183284822385,277257,254850
0303890028,1220,1,9437,9437
0303890031,1220,1,61483,61483
0303890037,1220,1,83386,83386
0303890043,1220,0,0,0
0303890043,2010,1,73899,73899
0303890058,1220,0,27000,0
0303890061,1220,1,317966,317966
0303890064,1220,1,20984,20984
0303890067,2010,1,727955,727955
0303890070,2010,0.8448116262538504,316525,267404
0303890080,1220,1,211763,211763
0303890080,2010,0.9469757781073274,882012,835244
0303914040,1220,1,99116,99116
0303914095,1220,1,184617,184617
0303990000,1220,1,2105,2105
0303990000,2010,1,11925,11925
0304310000,2010,1,928944,928944
0304390000,1220,1,20674,20674
0304410010,1220,1,5144894,5144894
0304410090,1220,1,5460562,5460562
0304420000,1220,1,212264,212264
0304430010,1220,1,17642,17642
0304430020,1220,1,96890,96890
0304430090,1220,1,10692,10692
0304440010,1220,1,2125,2125
0304440015,1220,1,26550,26550
0304440020,1220,1,288025,288025
0304440025,1220,1,21925,21925
0304440030,1220,1,2100,2100
0304440090,1220,1,4128,4128
0304490106,1220,1,402600,402600
0304490109,1220,1,8154,8154
0304490115,1220,1,276527,276527
0304490120,1220,1,250815,250815
0304490190,1220,1,1452854,1452854
0304490190,2010,0.9806512757481971,1350580,1324448
0304520015,1220,1,12758,12758
0304590003,1220,0,0,0
0304590006,1220,1,114204,114204
0304590009,1220,1,52863,52863
0304590020,1220,1,24750,24750
0304590025,1220,1,193259,193259
0304590036,1220,1,152365,152365
0304590091,1220,0,0,0
0304590091,2010,1,300696,300696
0304610000,2010,1,158148,158148
0304711000,1220,1,252210,252210
0304715000,1220,1,935902,935902
0304721000,1220,1,183900,183900
0304725000,1220,1,210312,210312
0304751000,1220,1,80177,80177
0304755000,1220,1,12200,12200
0304815010,1220,1,246288,246288
0304815090,1220,0.9953889431824932,1852070,1843530
0304835015,1220,1,3650,3650
0304835020,1220,1,5233,5233
0304835020,2010,0,0,0
0304835025,1220,1,43095,43095
0304870000,1220,0.964182290379853,2088492,2013687
0304870000,2010,0,0,0
0304880000,2010,0,0,0
0304891090,2010,1,27748,27748
0304895003,1220,1,380922,380922
0304895006,1220,1,1620220,1620220
0304895009,1220,1,104674,104674
0304895015,1220,1,1398524,1398524
0304895020,1220,1,14951,14951
0304895025,1220,1,13294,13294
0304895030,1220,1,36696,36696
0304895035,1220,1,86828,86828
0304895091,1220,1,306771,306771
0304895091,2010,0.9924793253898764,3243592,3219198
0304951025,1220,0,0,0
0304991109,1220,1,7643,7643
0304991190,2010,1,78642,78642
0304991194,1220,1,10559,10559
0304999190,1220,1,6959,6959
0304999190,2010,1,22552,22552
0305204020,1220,0,0,0
0305320010,1220,1,751664,751664
0305320090,1220,1,58797,58797
0305394000,1220,0,2558,0
0305396180,1220,1,12390,12390
0305410000,1220,1,20000,20000
0305410000,2010,1,64659,64659
0305420020,1220,0,0,0
0305420050,1220,1,540247,540247
0305420060,1220,1,333773,333773
0305492000,1220,1,55843,55843
0305494020,1220,1,61428,61428
0305494045,2010,1,20002,20002
0305510000,1220,1,888896,888896
0305530000,1220,1,72641,72641
0305540000,2010,1,5532,5532
0305590001,1220,1,22353,22353
0305612000,1220,1,28938,28938
0305614000,1220,1,9050,9050
0305620050,1220,1,372299,372299
0305691021,1220,0,0,0
0305691022,1220,1,673692,673692
0305691029,1220,1,154737,154737
0305691042,1220,1,257515,257515
0305720000,2010,0,0,0
0306110010,2010,1,255296,255296
0306110020,1220,1,50008,50008
0306120010,1220,1,337200,337200
0306120030,1220,1,924854,924854
0306120050,1220,1,28256,28256
0306120070,1220,1,6972726,6972726
0306142000,1220,1,24090,24090
0306144003,1220,0,0,0
0306144020,1220,0.9594536545951382,4811901,4616796
0306144030,1220,1,52200,52200
0306144090,1220,1,1044290,1044290
0306144090,2010,1,290904,290904
0306160003,1220,1,421074,421074
0306160006,1220,1,67561,67561
0306160027,1220,1,112700,112700
0306160040,1220,0,138500,0
0306170004,2010,1,316837,316837
0306170005,2010,1,1007255,1007255
0306170007,2010,1,744569,744569
0306170008,2010,1,769055,769055
0306170010,2010,1,1268338,1268338
0306170011,2010,1,166032,166032
0306170014,2010,0,0,0
0306170016,2010,1,23642,23642
0306170017,2010,1,5727690,5727690
0306170019,2010,1,2159799,2159799
0306170020,2010,1,1493853,1493853
0306170022,2010,1,492713,492713
0306170023,2010,1,28329,28329
0306170025,2010,1,8785,8785
0306170026,2010,1,2869,2869
0306170041,2010,1,2953768,2953768
0306170042,2010,1,729667,729667
0306320010,1220,1,63315183,63315183
0306334000,1220,1,689375,689375
0306360020,2010,1,133080,133080
0306950020,2010,1,58080,58080
0307110020,1220,1,63107,63107
0307110060,1220,1,3006006,3006006
