hts10,country,s232_annex,months,realized_vw,T_full_vw,T_us_vw,T_exit_vw,share_full,share_us_origin,share_exit,share_unexplained,share_ambiguous,z0_raw_vw,u_raw_vw,any_partial_month,con_val
3004909276,4792,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666667,TRUE,222648495
3004909206,5590,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,213213307
8418100085,2010,annex_1b,2,0.21087558016345645,0.25,0.1,0,0.5155935291760783,0,0,0.48440647082392174,0,0.15649767934617423,0.26082946557695713,TRUE,207444124
8415908070,2010,annex_1b,2,0.20525507491614534,0.01280713797850339,0.10067916640795094,6.791664079509374e-4,0,0,0,1,0,-15.868105875587533,NA,TRUE,205020826
8415908045,2010,annex_1b,2,0.11930156825742402,0.050798991644775235,0.10269388592055627,0.0026938859205562623,0,1,0,0,0,-1.424018835035228,NA,TRUE,201499891
8427208090,4120,annex_1b,2,0.23618347977314205,0.25,0.10000000000000002,0.10000000000000002,1,0,0,0,0,0.09211013484571962,0.09211013484571962,TRUE,197750190
7606123045,5800,annex_1a,2,0.4985219482484355,0.53,0.13000000000000003,0.13,1,0,0,0,0,0.0786951293789113,0.0786951293789113,TRUE,197512367
7601209080,1220,annex_1a,2,0.5000010862290647,0.5,0.1,1.1939083450918097e-5,1,0,0,0,0,-2.1725100049206044e-6,-2.715572661705139e-6,TRUE,188265999
3004909216,5700,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666665,TRUE,185417909
8807300030,4120,annex_1b,2,0.005459024592081039,0.25,0.10000000000000002,0,0,0,1,0,0,0.9781639016316759,1.6302731693861265,TRUE,182789248
2711120010,3070,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666667,TRUE,182756116
8427208090,5880,annex_1b,2,0.2288853565392094,0.25,0.1,0.1,1,0,0,0,0,0.14076428973860394,0.14076428973860394,TRUE,182065151
3004909274,5880,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666667,TRUE,181231264
8544422000,5520,annex_1b,2,0.22890274076342923,0.25,0.10000000000000002,0.10000000000000002,1,0,0,0,0,0.14064839491047176,0.14064839491047176,TRUE,180182753
8412909070,2010,annex_1b,2,2.7142370411322483e-4,0.25,0.1,0,0,0,1,0,0,0.9989143051835471,1.664857175305912,TRUE,178890050
7601106045,1220,annex_1a,2,0.48414069339463645,0.5,0.10000000000000002,0.0025597820443345022,1,0,0,0,0,0.03188183430471442,0.03964826651340888,TRUE,177778012
8415908070,5700,annex_1b,2,0.3168975700519267,0.3390000000000001,0.18900000000000006,0.089,1,0,0,0,0,0.08840971979229346,0.14734953298715572,TRUE,176639824
7207120050,3510,annex_1a,2,0.42789851482883395,0.5,0.10000000000000002,0.10000000000000002,0.3667723200700805,0,0,0.6332276799299195,0,0.1802537129279152,0.1802537129279152,TRUE,176153972
3004909246,4190,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,175394784
3004909236,4120,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,173959158
3004909216,5590,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,173527430
2711120010,1220,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,173496135
8504230080,5800,annex_3,2,0.07630655086391255,0.15,0.10000000000000002,0.10385363638249982,0,1,0,0,1,1.596950298119276,1.4738689827217497,TRUE,170449717
7308909590,2010,annex_1a,2,0.18447754228970953,0.5,0.10000000000000002,0.006534675235182419,0,0,0,1,0,0.6394014774202553,0.7888061442757262,TRUE,168988510
8544422000,5700,annex_1b,2,0.4524524268433756,0.4125,0.26249999999999996,0.2625,1,0,0,0,0,-0.2663495122891712,-0.26634951228917114,TRUE,166826485
