hts10,cty_code,usmca_share,total_value,usmca_value
0201205035,2010,1,7507240,7507240
0201205045,1220,1,272771,272771
0201205045,2010,1,3199371,3199371
0201205065,1220,1,854945,854945
0201205065,2010,0,0,0
0201205075,1220,1,725240,725240
0201205075,2010,0,0,0
0201205091,1220,1,1869362,1869362
0201205091,2010,1,28929282,28929282
0201208010,1220,1,329511,329511
0201208010,2010,0,0,0
0201208090,1220,0,0,0
0201208090,2010,1,8797081,8797081
0201300200,1220,0,0,0
0201300200,2010,0,0,0
0201300400,1220,0,0,0
0201300400,2010,0,0,0
0201300600,1220,0,0,0
0201300600,2010,0,0,0
0201301000,1220,1,302419,302419
0201301000,2010,1,3558096,3558096
0201303000,1220,1,4231040,4231040
0201303000,2010,1,8167198,8167198
0201305015,1220,1,972186,972186
0201305015,2010,0,0,0
0201305025,1220,1,30407457,30407457
0201305025,2010,1,6734115,6734115
0201305035,1220,1,48720224,48720224
0201305035,2010,1,10556389,10556389
0201305045,1220,0.9949402647043457,52079009,51815503
0201305045,2010,1,13540021,13540021
0201305055,1220,1,12459255,12459255
0201305055,2010,1,3159839,3159839
0201305065,1220,1,17082221,17082221
0201305065,2010,1,15165065,15165065
0201305075,1220,1,10122301,10122301
0201305075,2010,1,3652328,3652328
0201305085,1220,1,19819919,19819919
0201305085,2010,1,54771212,54771212
0201308010,1220,1,84862,84862
0201308010,2010,0,0,0
0201308090,1220,1,6387714,6387714
0201308090,2010,1,22139667,22139667
0202100510,1220,0,0,0
0202100510,2010,0,0,0
0202100590,1220,0,0,0
0202100590,2010,0,0,0
0202101010,1220,0,0,0
0202101010,2010,0,0,0
0202101090,1220,0,0,0
0202101090,2010,0,0,0
0202105010,1220,0,0,0
0202105010,2010,0,0,0
0202105090,1220,0,0,0
0202105090,2010,0,0,0
0202200200,1220,0,0,0
0202200200,2010,0,0,0
0202200400,1220,0,0,0
0202200400,2010,0,0,0
0202200600,1220,0,0,0
0202200600,2010,0,0,0
0202201000,1220,0,0,0
0202201000,2010,1,4095,4095
0202203000,1220,0,0,0
0202203000,2010,0,0,0
0202205025,1220,1,2479,2479
0202205025,2010,1,15991,15991
0202205035,1220,0,0,0
0202205035,2010,1,289562,289562
0202205045,1220,0,0,0
0202205045,2010,1,48750,48750
0202205090,1220,1,587717,587717
0202205090,2010,1,1003157,1003157
0202208000,1220,1,32090,32090
0202208000,2010,1,952337,952337
0202300200,1220,0,0,0
0202300200,2010,0,0,0
0202300400,1220,0,0,0
0202300400,2010,0,0,0
0202300600,1220,0,0,0
0202300600,2010,0,0,0
0202301000,1220,1,158426,158426
0202301000,2010,1,1207133,1207133
0202303000,1220,1,2492462,2492462
0202303000,2010,1,5859873,5859873
0202305015,1220,1,127560,127560
0202305015,2010,0,0,0
0202305025,1220,1,53392,53392
0202305025,2010,0,0,0
0202305035,1220,1,150675,150675
0202305035,2010,0,0,0
0202305045,1220,1,3155716,3155716
0202305045,2010,0,0,0
0202305055,1220,0,0,0
0202305055,2010,0,0,0
0202305065,1220,0,0,0
0202305065,2010,0,0,0
0202305075,1220,1,1296803,1296803
0202305075,2010,1,291649,291649
0202305085,1220,1,2094488,2094488
0202305085,2010,1,2475572,2475572
0202308000,1220,1,3553429,3553429
0202308000,2010,1,1151086,1151086
0203110000,1220,0,0,0
0203110000,2010,0,0,0
0203121010,1220,1,2364305,2364305
0203121010,2010,0,0,0
0203121020,1220,1,41165,41165
0203121020,2010,1,27643,27643
0203129010,1220,1,6764458,6764458
0203129010,2010,0,0,0
0203129020,1220,1,1665066,1665066
0203129020,2010,0,0,0
0203192010,1220,1,889286,889286
0203192010,2010,1,594170,594170
0203192090,1220,1,3466935,3466935
0203192090,2010,0,0,0
0203194010,1220,1,21274642,21274642
0203194010,2010,0.9811455260728038,1558463,1529079
0203194090,1220,1,29943126,29943126
0203194090,2010,1,1429414,1429414
0203210000,1220,0,0,0
0203210000,2010,0,0,0
0203221000,1220,1,132827,132827
0203221000,2010,0,0,0
0203229000,1220,1,2726878,2726878
0203229000,2010,1,495003,495003
0203292000,1220,1,236784,236784
0203292000,2010,1,202272,202272
0203294000,1220,0.9809484795868808,12889260,12643700
0203294000,2010,0.9909884632661605,10799157,10701840
0204100000,1220,1,14870,14870
0204100000,2010,0,0,0
0204210000,1220,0,0,0
0204210000,2010,0,0,0
0204222010,1220,0,0,0
0204222010,2010,0,0,0
0204222020,1220,0,0,0
0204222020,2010,0,0,0
0204222030,1220,0,0,0
0204222030,2010,0,0,0
0204222090,1220,1,57746,57746
0204222090,2010,0,0,0
0204224000,1220,0,0,0
0204224000,2010,0,0,0
0204232000,1220,0,0,0
0204232000,2010,0,0,0
0204234000,1220,0,0,0
0204234000,2010,0,0,0
0204300000,1220,0,0,0
0204300000,2010,0,0,0
0204410000,1220,0,0,0
0204410000,2010,0,0,0
0204422010,1220,0,0,0
0204422010,2010,0,0,0
0204422020,1220,0,0,0
0204422020,2010,0,0,0
0204422030,1220,0,0,0
0204422030,2010,0,0,0
0204422090,1220,0,0,0
0204422090,2010,0,0,0
0204424000,1220,0,0,0
0204424000,2010,0,0,0
0204432000,1220,1,11905,11905
0204432000,2010,0,0,0
0204434000,1220,0,0,0
0204434000,2010,0,0,0
0204500000,1220,0,0,0
0204500000,2010,1,185865,185865
0205000000,1220,1,211983,211983
0205000000,2010,0,0,0
0206100000,1220,1,5853950,5853950
0206100000,2010,1,6430177,6430177
0206210000,1220,1,713167,713167
0206210000,2010,1,209887,209887
0206220000,1220,1,52360,52360
0206220000,2010,0,0,0
0206290000,1220,1,6161733,6161733
0206290000,2010,1,6327798,6327798
0206300000,1220,1,562576,562576
0206300000,2010,1,120129,120129
0206410000,1220,1,88545,88545
0206410000,2010,1,10051,10051
0206490000,1220,1,1595425,1595425
0206490000,2010,1,1267051,1267051
0206800000,1220,0,0,0
0206800000,2010,0,0,0
0206900020,1220,0,0,0
0206900020,2010,0,0,0
0206900040,1220,1,2215,2215
0206900040,2010,0,0,0
0207110020,1220,1,512632,512632
0207110020,2010,0,0,0
0207110040,1220,1,57417,57417
0207110040,2010,0,0,0
0207120020,1220,1,18581,18581
0207120020,2010,0,0,0
0207120040,1220,1,128192,128192
0207120040,2010,0,0,0
0207130000,1220,1,3327316,3327316
0207130000,2010,0,0,0
0207140020,1220,0,0,0
0207140020,2010,0,0,0
0207140040,1220,0.9963739229547213,846645,843575
0207140040,2010,1,52850,52850
0207240000,1220,0.9871358077738325,1182274,1167065
0207240000,2010,0,0,0
0207252000,1220,1,244653,244653
0207252000,2010,0,0,0
0207254000,1220,1,1717332,1717332
0207254000,2010,0,0,0
0207260000,1220,1,992102,992102
0207260000,2010,0,0,0
0207270020,1220,1,598062,598062
0207270020,2010,0,0,0
0207270040,1220,1,2311573,2311573
0207270040,2010,0,0,0
0207410000,1220,0,0,0
0207410000,2010,0,0,0
0207420000,1220,1,314571,314571
0207420000,2010,0,0,0
0207430000,1220,0,0,0
0207430000,2010,0,0,0
0207440000,1220,1,5754,5754
0207440000,2010,0,0,0
0207450020,1220,1,245259,245259
0207450020,2010,0,0,0
0207450040,1220,1,199797,199797
0207450040,2010,0,0,0
0207510000,1220,0,0,0
0207510000,2010,0,0,0
0207520000,1220,0,0,0
0207520000,2010,0,0,0
0207530000,1220,0,0,0
0207530000,2010,0,0,0
0207540000,1220,0,0,0
0207540000,2010,0,0,0
0207550020,1220,0,0,0
0207550020,2010,0,0,0
0207550040,1220,0,0,0
0207550040,2010,0,0,0
0207601000,1220,0,0,0
0207601000,2010,0,0,0
0207602000,1220,0,0,0
0207602000,2010,0,0,0
0207603000,1220,0,0,0
0207603000,2010,0,0,0
0207604000,1220,0,0,0
0207604000,2010,0,0,0
0207606020,1220,0,0,0
0207606020,2010,0,0,0
0207606040,1220,0,0,0
0207606040,2010,0,0,0
0208100000,1220,0,0,0
0208100000,2010,0,0,0
0208300000,1220,0,0,0
0208300000,2010,0,0,0
0208400100,1220,0,0,0
0208400100,2010,0,0,0
0208500000,1220,0,0,0
0208500000,2010,0,0,0
0208600000,1220,0,0,0
0208600000,2010,0,0,0
0208902000,1220,1,10451,10451
0208902000,2010,0,0,0
0208902500,1220,0,0,0
0208902500,2010,0,0,0
0208903000,1220,0,0,0
0208903000,2010,0,0,0
0208909100,1220,1,584676,584676
0208909100,2010,0,0,0
0209100000,1220,1,1216703,1216703
0209100000,2010,0,0,0
0209900000,1220,1,10775,10775
0209900000,2010,0,0,0
0210110010,1220,0,0,0
0210110010,2010,0,0,0
0210110020,1220,1,361812,361812
0210110020,2010,0,0,0
0210120020,1220,1,7251694,7251694
0210120020,2010,0,0,0
0210120040,1220,1,884468,884468
0210120040,2010,0,0,0
0210190010,1220,0,0,0
0210190010,2010,0,0,0
0210190090,1220,0.9647644484570339,1116486,1077146
0210190090,2010,1,582910,582910
0210200000,1220,1,133390,133390
0210200000,2010,0,0,0
0210910000,1220,0,0,0
0210910000,2010,0,0,0
0210920100,1220,0,0,0
0210920100,2010,0,0,0
0210930000,1220,0,0,0
0210930000,2010,0,0,0
0210992000,1220,1,162496,162496
0210992000,2010,0,0,0
0210999100,1220,0,0,0
0210999100,2010,0,0,0
0301110010,1220,0,0,0
0301110010,2010,0,0,0
0301110020,1220,0,0,0
0301110020,2010,0,0,0
0301110090,1220,1,14885,14885
0301110090,2010,1,3450,3450
0301190000,1220,0,0,0
0301190000,2010,0,0,0
0301910000,1220,0,0,0
0301910000,2010,0,0,0
0301920000,1220,1,73875,73875
0301920000,2010,0,0,0
0301930210,1220,0,0,0
0301930210,2010,0,0,0
0301930290,1220,0,0,0
0301930290,2010,1,51483,51483
0301940100,1220,0,0,0
0301940100,2010,0,0,0
0301950000,1220,0,0,0
0301950000,2010,0,0,0
0301990310,1220,0,0,0
0301990310,2010,0,0,0
0301990315,1220,0,0,0
0301990315,2010,0,0,0
0301990390,1220,0,0,0
0301990390,2010,0,0,0
0302110010,1220,0,0,0
0302110010,2010,0,0,0
0302110090,1220,1,583850,583850
0302110090,2010,0,0,0
0302130013,1220,1,2052128,2052128
0302130013,2010,0,0,0
0302130014,1220,1,22000,22000
0302130014,2010,0,0,0
0302130022,1220,1,349342,349342
0302130022,2010,0,0,0
0302130032,1220,0,0,0
0302130032,2010,0,0,0
0302130042,1220,1,2562930,2562930
0302130042,2010,0,0,0
0302130053,1220,0,0,0
0302130053,2010,0,0,0
0302130054,1220,1,31645,31645
0302130054,2010,0,0,0
0302130062,1220,0,0,0
0302130062,2010,0,0,0
0302140003,1220,1,36975802,36975802
0302140003,2010,0,0,0
0302140004,1220,0,0,0
0302140004,2010,0,0,0
0302140062,1220,0,0,0
0302140062,2010,0,0,0
0302190000,1220,1,6569,6569
0302190000,2010,0,0,0
0302210010,1220,1,4110117,4110117
0302210010,2010,0,0,0
0302210020,1220,1,2113807,2113807
0302210020,2010,1,164523,164523
0302210090,1220,1,103220,103220
0302210090,2010,0,0,0
0302220000,1220,0,0,0
0302220000,2010,0,0,0
0302230000,1220,0,0,0
0302230000,2010,0,0,0
0302240000,1220,0,0,0
0302240000,2010,0,0,0
0302290110,1220,1,143349,143349
0302290110,2010,1,37720,37720
0302290190,1220,0,0,0
0302290190,2010,0,0,0
0302310000,1220,0,0,0
0302310000,2010,0,0,0
0302320000,1220,0,0,0
0302320000,2010,1,201240,201240
0302330000,1220,0,0,0
0302330000,2010,0,0,0
0302340000,1220,1,4370,4370
0302340000,2010,0,0,0
0302350100,1220,1,443485,443485
0302350100,2010,1,6726929,6726929
0302360000,1220,0,0,0
0302360000,2010,0,0,0
0302390200,1220,0,0,0
0302390200,2010,0,0,0
0302410000,1220,1,31194,31194
0302410000,2010,0,0,0
0302420000,1220,1,2043,2043
0302420000,2010,0,0,0
0302430000,1220,0,0,0
0302430000,2010,0,0,0
0302440000,1220,0,0,0
0302440000,2010,0,0,0
0302451100,1220,0,0,0
0302451100,2010,0,0,0
0302455000,1220,0,0,0
0302455000,2010,1,152777,152777
0302461100,1220,0,0,0
0302461100,2010,0,0,0
0302465000,1220,0,0,0
0302465000,2010,1,3708,3708
0302470010,1220,0,0,0
0302470010,2010,0,0,0
0302470090,1220,1,542300,542300
0302470090,2010,1,316140,316140
0302490000,1220,0,0,0
0302490000,2010,1,4233,4233
0302510010,1220,1,89178,89178
0302510010,2010,0,0,0
0302510090,1220,0,0,0
0302510090,2010,0,0,0
0302520000,1220,1,110359,110359
0302520000,2010,0,0,0
0302530000,1220,0,0,0
0302530000,2010,0,0,0
0302541100,1220,0,0,0
0302541100,2010,0,0,0
0302545000,1220,1,26569,26569
0302545000,2010,1,107090,107090
0302551100,1220,0,0,0
0302551100,2010,0,0,0
0302555000,1220,0,0,0
0302555000,2010,0,0,0
0302561100,1220,0,0,0
0302561100,2010,0,0,0
0302565000,1220,0,0,0
0302565000,2010,0,0,0
0302591100,1220,0,0,0
0302591100,2010,0,0,0
0302595010,1220,1,9144,9144
0302595010,2010,0,0,0
0302595090,1220,0,0,0
0302595090,2010,0,0,0
0302692050,1220,0,0,0
0302692050,2010,0,0,0
0302711100,1220,0,0,0
0302711100,2010,0,0,0
0302715000,1220,0,0,0
0302715000,2010,0,0,0
0302721100,1220,0,0,0
0302721100,2010,0,0,0
0302725001,1220,0,0,0
0302725001,2010,0,0,0
0302725004,1220,0,0,0
0302725004,2010,0,0,0
0302725034,1220,0,0,0
0302725034,2010,0,0,0
0302731100,1220,0,0,0
0302731100,2010,0,0,0
0302735000,1220,0,0,0
0302735000,2010,0,0,0
0302740000,1220,0,0,0
0302740000,2010,0,0,0
0302791100,1220,0,0,0
0302791100,2010,0,0,0
0302795025,1220,0,0,0
0302795025,2010,0,0,0
0302795076,1220,0,0,0
0302795076,2010,0,0,0
0302810011,1220,0,0,0
0302810011,2010,0,0,0
0302810091,1220,0,0,0
0302810091,2010,0,0,0
0302820000,1220,0,0,0
0302820000,2010,0,0,0
0302830000,1220,0,0,0
0302830000,2010,0,0,0
0302841100,1220,0,0,0
0302841100,2010,0,0,0
0302845000,1220,0,0,0
0302845000,2010,1,30585,30585
0302851100,1220,0,0,0
0302851100,2010,0,0,0
0302855000,1220,0,0,0
0302855000,2010,0,0,0
0302891120,1220,0,0,0
0302891120,2010,1,4105,4105
0302891140,1220,0,0,0
0302891140,2010,0,0,0
0302895007,1220,0,0,0
0302895007,2010,0,0,0
0302895010,1220,1,218640,218640
0302895010,2010,0,0,0
0302895013,1220,1,45900,45900
0302895013,2010,0,0,0
0302895025,1220,1,374746,374746
0302895025,2010,0,0,0
0302895028,1220,1,130828,130828
0302895028,2010,1,454545,454545
0302895031,1220,1,583581,583581
0302895031,2010,0,0,0
0302895034,1220,1,3093,3093
0302895034,2010,0,0,0
0302895037,1220,1,20880,20880
0302895037,2010,0,0,0
0302895040,1220,0,0,0
0302895040,2010,0,0,0
0302895049,1220,0,0,0
0302895049,2010,0,0,0
0302895052,1220,1,363500,363500
0302895052,2010,1,2295,2295
0302895055,1220,1,51800,51800
0302895055,2010,0,0,0
0302895058,1220,0,0,0
0302895058,2010,0.993717657198632,4230269,4203693
0302895061,1220,0,0,0
0302895061,2010,0.9923926640557655,2103233,2087233
0302895064,1220,1,105292,105292
0302895064,2010,0,0,0
0302895067,1220,0,0,0
0302895067,2010,0,0,0
0302895070,1220,0,0,0
0302895070,2010,0,0,0
0302895072,1220,0,0,0
0302895072,2010,0,0,0
