hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,0,27000,0
0101210020,1220,0,127132,0
0101290090,1220,0,1759168,0
0101290090,2010,0,442280,0
0102210010,1220,0,34209,0
0102210020,1220,0,874277,0
0102210030,1220,0,101762,0
0102210050,1220,0,5080,0
0102292012,1220,0,1518300,0
0102294024,1220,1,750506,750506
0102294028,1220,1,956194,956194
0102294034,1220,1,2794,2794
0102294034,2010,1,2288049,2288049
0102294038,2010,1,753534,753534
0102294054,1220,1,169560,169560
0102294054,2010,1,63172110,63172110
0102294058,1220,1,1774678,1774678
0102294058,2010,1,27875539,27875539
0102294062,1220,1,10911815,10911815
0102294062,2010,1,4187885,4187885
0102294064,1220,1,3988639,3988639
0102294064,2010,1,1910820,1910820
0102294066,1220,1,11897245,11897245
0102294068,1220,1,34352119,34352119
0102294068,2010,1,825543,825543
0102294072,1220,1,1651359,1651359
0102294074,1220,1,165064,165064
0102294082,1220,1,2204203,2204203
0102294082,2010,1,12933631,12933631
0102294084,1220,1,7166451,7166451
0102294084,2010,1,9869889,9869889
0102310020,1220,0,9779,0
0102390010,1220,1,2552566,2552566
0102900000,1220,0,3493,0
0103910010,1220,0,13729337,0
0103910020,1220,0,2122357,0
0103910030,1220,0,1864646,0
0103920010,1220,0,24791462,0
0103920020,1220,0,1036795,0
0103920091,1220,0,79443,0
0104100000,1220,0,7419,0
0105110010,1220,1,102600,102600
0105110040,1220,1,1334216,1334216
0105120000,1220,1,1728726,1728726
0105130000,1220,1,159319,159319
0105940000,1220,1,140624,140624
0105990000,1220,1,988722,988722
0106140000,1220,0,332526,0
0106199120,1220,0,39535,0
0106199120,2010,0,19500,0
0106199195,1220,0,387067,0
0106200000,1220,0,54025,0
0106410000,1220,0,91753,0
0106490010,1220,0,554875,0
0106490090,1220,0,225197,0
0106900110,1220,0,3379532,0
0106900180,1220,0,269756,0
0106900180,2010,0,281636,0
0201101090,2010,1,24990,24990
0201105010,1220,1,2674981,2674981
0201201000,2010,1,682009,682009
0201203000,2010,1,3332812,3332812
0201205015,1220,1,1098488,1098488
0201205025,1220,1,15440317,15440317
0201205025,2010,1,2430605,2430605
0201205035,1220,1,6140512,6140512
0201205035,2010,1,8132753,8132753
0201205045,1220,1,2413320,2413320
0201205045,2010,1,4618921,4618921
0201205065,1220,1,323803,323803
0201205075,1220,1,978981,978981
0201205091,1220,1,644325,644325
0201205091,2010,1,24685372,24685372
0201208010,1220,1,103713,103713
0201208090,1220,1,3506,3506
0201208090,2010,1,744989,744989
0201301000,1220,1,125019,125019
0201301000,2010,1,3401376,3401376
0201303000,1220,1,3256522,3256522
0201303000,2010,1,6784899,6784899
0201305015,1220,1,638349,638349
0201305025,1220,1,18505544,18505544
0201305025,2010,1,9932916,9932916
0201305035,1220,1,32789899,32789899
0201305035,2010,1,4944499,4944499
0201305045,1220,1,39852709,39852709
0201305045,2010,1,13831118,13831118
0201305055,1220,1,8020763,8020763
0201305055,2010,1,2520050,2520050
0201305065,1220,1,9981377,9981377
0201305065,2010,1,908119,908119
0201305075,1220,1,12435003,12435003
0201305075,2010,1,4311086,4311086
0201305085,1220,1,17268413,17268413
0201305085,2010,1,42779599,42779599
0201308010,1220,1,31176,31176
0201308090,1220,1,3143168,3143168
0201308090,2010,1,951059,951059
0202201000,2010,1,23550,23550
0202205025,1220,1,490127,490127
0202205025,2010,1,48478,48478
0202205035,2010,1,108938,108938
0202205045,2010,1,173335,173335
0202205090,1220,1,504603,504603
0202205090,2010,1,568870,568870
0202208000,1220,1,23072,23072
0202208000,2010,1,1067820,1067820
0202300600,1220,0,0,0
0202301000,1220,1,28663,28663
0202301000,2010,1,1072263,1072263
0202303000,1220,1,380538,380538
0202303000,2010,1,2627401,2627401
0202305015,1220,1,71440,71440
0202305025,2010,1,138009,138009
0202305035,2010,1,29799,29799
0202305045,1220,1,2938734,2938734
0202305045,2010,1,256876,256876
0202305075,1220,1,1114283,1114283
0202305075,2010,1,115586,115586
0202305085,1220,1,1407787,1407787
0202305085,2010,1,668450,668450
0202308000,1220,1,2097833,2097833
0202308000,2010,1,85511,85511
0203121010,1220,1,2015798,2015798
0203121020,1220,1,7086,7086
0203121020,2010,1,35213,35213
0203129010,1220,0,4234060,0
0203129020,1220,0,2580223,0
0203192010,1220,1,1335456,1335456
0203192090,1220,1,2368338,2368338
0203194010,1220,0,18515360,0
0203194010,2010,0,833591,0
0203194090,1220,0,25754444,0
0203194090,2010,0,1496870,0
0203229000,1220,0,1749816,0
0203229000,2010,0,62028,0
0203292000,1220,1,205611,205611
0203292000,2010,1,249424,249424
0203294000,1220,0,5751021,0
0203294000,2010,0,9835337,0
0204222090,1220,1,20055,20055
0205000000,1220,0,234827,0
0206100000,1220,0,3922355,0
0206100000,2010,0,3533920,0
0206210000,1220,0,391342,0
0206210000,2010,0,4808,0
0206220000,1220,0,49358,0
0206290000,1220,0,5970381,0
0206290000,2010,0,4355749,0
0206300000,1220,0,670532,0
0206300000,2010,0,159383,0
0206410000,1220,0,11017,0
0206410000,2010,0,18010,0
0206490000,1220,0,910963,0
0206490000,2010,0,722343,0
0206900020,1220,0,3505,0
0207110020,1220,1,545848,545848
0207110040,1220,1,59920,59920
0207120040,1220,1,216680,216680
0207130000,1220,1,2455180,2455180
0207140040,1220,1,583923,583923
0207140040,2010,1,50050,50050
0207240000,1220,0.9447999564925765,992934,938124
0207254000,1220,1,235916,235916
0207260000,1220,1,176422,176422
0207270020,1220,1,408403,408403
0207270040,1220,1,1437126,1437126
