hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,0,41647,0
0101210020,1220,0,71277,0
0101290090,1220,0,1945514,0
0101290090,2010,0,228850,0
0101300000,1220,1,6000,6000
0102210010,1220,0,18184,0
0102210020,1220,0,474589,0
0102210030,1220,0,43442,0
0102210050,1220,0,84629,0
0102292012,1220,0,2015600,0
0102294024,1220,1,592400,592400
0102294028,1220,1,745800,745800
0102294034,2010,1,1308692,1308692
0102294038,2010,1,381088,381088
0102294054,1220,1,826270,826270
0102294054,2010,1,22595777,22595777
0102294058,1220,1,443680,443680
0102294058,2010,1,9772389,9772389
0102294062,1220,1,19057179,19057179
0102294064,1220,1,4818507,4818507
0102294064,2010,1,1393500,1393500
0102294066,1220,1,10924546,10924546
0102294068,1220,1,23719990,23719990
0102294068,2010,1,514630,514630
0102294072,1220,1,489555,489555
0102294074,1220,1,19139,19139
0102294082,1220,1,6599582,6599582
0102294082,2010,1,7414833,7414833
0102294084,1220,1,3133463,3133463
0102294084,2010,1,2296590,2296590
0102390010,1220,1,3879486,3879486
0103910010,1220,0,16043391,0
0103910020,1220,0,3131550,0
0103910030,1220,0,2176299,0
0103920010,1220,0,22944563,0
0103920020,1220,0,906966,0
0103920091,1220,0,159375,0
0105110040,1220,1,699908,699908
0105120000,1220,1,1535157,1535157
0105130000,1220,1,173504,173504
0105940000,1220,1,2439,2439
0105990000,1220,1,442597,442597
0106140000,1220,0,421446,0
0106199120,1220,0,34752,0
0106199195,1220,0,367020,0
0106200000,1220,0,75143,0
0106390100,1220,0.7900207900207901,14430,11400
0106410000,1220,0,268196,0
0106490090,1220,0,393213,0
0106900110,1220,0,5851003,0
0106900180,1220,0,188064,0
0106900180,2010,0,250405,0
0201105010,1220,1,3363479,3363479
0201201000,2010,1,615217,615217
0201203000,2010,1,3236198,3236198
0201205015,1220,1,1060149,1060149
0201205025,1220,1,15299434,15299434
0201205025,2010,1,2174890,2174890
0201205035,1220,1,5458341,5458341
0201205035,2010,1,9151237,9151237
0201205045,1220,1,2477407,2477407
0201205045,2010,1,7392695,7392695
0201205065,1220,1,378068,378068
0201205075,1220,1,802564,802564
0201205091,1220,1,917438,917438
0201205091,2010,1,26189676,26189676
0201208010,1220,1,14173,14173
0201208090,1220,1,4204,4204
0201208090,2010,1,961959,961959
0201301000,1220,1,326444,326444
0201301000,2010,1,3539874,3539874
0201303000,1220,1,3192434,3192434
0201303000,2010,1,6514412,6514412
0201305015,1220,1,894203,894203
0201305025,1220,1,22063585,22063585
0201305025,2010,1,12546931,12546931
0201305035,1220,1,31579448,31579448
0201305035,2010,1,6055553,6055553
0201305045,1220,1,37483151,37483151
0201305045,2010,1,16926238,16926238
0201305055,1220,1,8250334,8250334
0201305055,2010,1,2359516,2359516
0201305065,1220,1,9342951,9342951
0201305065,2010,1,67419,67419
0201305075,1220,1,11947773,11947773
0201305075,2010,1,4306659,4306659
0201305085,1220,1,15645965,15645965
0201305085,2010,1,46113165,46113165
0201308010,1220,1,46601,46601
0201308090,1220,1,4397487,4397487
0201308090,2010,1,975996,975996
0202201000,2010,1,62676,62676
0202205035,2010,1,145858,145858
0202205045,2010,1,117269,117269
0202205090,1220,1,484599,484599
0202205090,2010,1,504691,504691
0202208000,1220,1,4489,4489
0202208000,2010,1,236652,236652
0202300600,1220,0,0,0
0202301000,2010,1,1761536,1761536
0202303000,1220,1,1879117,1879117
0202303000,2010,1,3530146,3530146
0202305015,1220,1,25405,25405
0202305045,1220,1,2733354,2733354
0202305045,2010,1,49884,49884
0202305075,1220,1,1074388,1074388
0202305075,2010,1,103645,103645
0202305085,1220,1,1568820,1568820
0202305085,2010,1,2987871,2987871
0202308000,1220,1,2795313,2795313
0202308000,2010,1,196675,196675
0203121010,1220,1,2042950,2042950
0203121020,1220,1,4888,4888
0203121020,2010,1,29743,29743
0203129010,1220,0,4893872,0
0203129020,1220,0,2739315,0
0203192010,1220,1,1171543,1171543
0203192090,1220,1,2338448,2338448
0203194010,1220,0,22630811,0
0203194010,2010,0,1164507,0
0203194090,1220,0,27045786,0
0203194090,2010,0,1469115,0
0203221000,1220,1,62187,62187
0203229000,1220,0,1233275,0
0203229000,2010,0,71681,0
0203292000,1220,1,284776,284776
0203292000,2010,1,353275,353275
0203294000,1220,0,7004288,0
0203294000,2010,0,11309090,0
0204222090,1220,1,93456,93456
0204432000,1220,1,5503,5503
0204500000,2010,0,198309,0
0205000000,1220,0,95202,0
0206100000,1220,0,4005192,0
0206100000,2010,0,4045280,0
0206210000,1220,0,484289,0
0206210000,2010,0,7649,0
0206220000,1220,0,70162,0
0206290000,1220,0,5454287,0
0206290000,2010,0,5205608,0
0206300000,1220,0,654907,0
0206300000,2010,0,66836,0
0206410000,1220,0,8554,0
0206410000,2010,0,10571,0
0206490000,1220,0,1154876,0
0206490000,2010,0,1104713,0
0206900040,1220,0,2208,0
0207110020,1220,1,615207,615207
0207110040,1220,1,67176,67176
0207120020,1220,1,61645,61645
0207120040,1220,1,254674,254674
0207130000,1220,1,3413461,3413461
0207140040,1220,1,2307237,2307237
0207140040,2010,1,32098,32098
0207240000,1220,1,1212878,1212878
0207252000,1220,1,62814,62814
0207254000,1220,1,548884,548884
0207260000,1220,1,188274,188274
0207270020,1220,1,391613,391613
0207270040,1220,1,1803744,1803744
0207420000,1220,1,367550,367550
0207440000,1220,1,8330,8330
0207450020,1220,1,170952,170952
0207450040,1220,1,157434,157434
0208100000,1220,1,42595,42595
0208903000,1220,1,14840,14840
0208909100,1220,1,46648,46648
0209100000,1220,1,1008674,1008674
0210120020,1220,1,6759689,6759689
0210120020,2010,1,127208,127208
0210120040,1220,1,576086,576086
0210190090,1220,1,643931,643931
0210190090,2010,1,528707,528707
0210200000,1220,0,134563,0
0210992000,1220,1,184032,184032
0301110090,1220,0,14885,0
0301110090,2010,0,6205,0
0301930290,2010,0,18600,0
0301990390,1220,0,34125,0
0301990390,2010,0,5946,0
0302110010,1220,0,2474,0
0302110090,1220,0,214307,0
0302130013,1220,0,2279387,0
0302130014,1220,0,382205,0
0302130022,1220,0,3774,0
0302130042,1220,0,15120,0
0302140003,1220,0,49136449,0
0302190000,1220,0,10107,0
0302210010,1220,0,8487567,0
0302210020,1220,0,3952175,0
0302210020,2010,0,836292,0
0302230000,1220,1,3070,3070
0302290110,1220,0,54233,0
0302290110,2010,0,5770,0
0302290190,2010,0,171653,0
0302320000,1220,0,11827,0
0302320000,2010,0,492249,0
0302340000,1220,0,84543,0
0302350100,1220,0,15749,0
0302350100,2010,0,5966995,0
0302420000,1220,0,4910,0
0302455000,2010,0,138381,0
0302465000,2010,0,9660,0
0302470090,1220,0,226898,0
0302470090,2010,0,169370,0
0302490000,2010,0,24566,0
0302510010,1220,0,10732,0
0302520000,1220,0,21184,0
0302545000,1220,0,421508,0
0302595010,1220,0,35634,0
0302820000,1220,0,112294,0
0302845000,2010,0,15651,0
0302891120,2010,1,7738,7738
0302895010,1220,0,585840,0
0302895013,1220,0,46656,0
0302895025,1220,0,173176,0
0302895028,1220,0,313628,0
0302895028,2010,0,1090603,0
0302895031,1220,0,572554,0
0302895034,1220,0,6925,0
0302895052,1220,0,366998,0
0302895052,2010,0,5653,0
0302895055,1220,0,41965,0
0302895058,2010,0,3840812,0
0302895061,2010,0,3358168,0
0302895064,1220,0,78815,0
0302895067,1220,0,11578,0
0302895070,2010,0,2112,0
0302895077,1220,0,605064,0
0302895077,2010,0,826355,0
0302990000,2010,0,3308,0
0303110000,1220,0,719666,0
0303120012,1220,0,160420,0
0303120022,1220,0,22931,0
0303120032,1220,0,38120,0
0303120052,1220,0,250074,0
0303120062,1220,0,3376,0
0303130000,1220,0,8071,0
0303140000,1220,0,271108,0
0303260000,1220,0,6450,0
0303310010,1220,0,117915,0
0303310020,1220,0,29975,0
0303390195,1220,1,76035,76035
0303410000,1220,0,12898,0
0303510000,1220,0,49208,0
0303530000,2010,1,105256,105256
0303540000,2010,0,60192,0
0303590000,2010,0,372435,0
0303630090,1220,0,11575,0
0303660000,2010,0,59952,0
0303670000,1220,0,5145,0
0303690000,2010,0,52210,0
0303810091,2010,1,72383,72383
0303890004,1220,0,319341,0
0303890013,1220,0,98675,0
0303890031,1220,0,132755,0
0303890037,1220,0,54039,0
0303890043,1220,0,8041,0
0303890055,2010,0,29505,0
0303890061,1220,0,49488,0
0303890067,2010,0,174472,0
0303890070,2010,0,39630,0
0303890080,1220,0,151075,0
0303890080,2010,0,877681,0
0303914040,1220,0,175150,0
0304310000,2010,0,1173835,0
0304410010,1220,0,5266751,0
0304410090,1220,0,1136796,0
0304420000,1220,0,113406,0
0304430020,1220,0,58462,0
0304430090,1220,0,728726,0
0304440015,1220,0,18106,0
0304440020,1220,0,176989,0
0304440025,1220,0,55448,0
0304490106,1220,0,1057730,0
0304490109,1220,0,151630,0
0304490115,1220,0,570160,0
0304490120,1220,0,199143,0
0304490190,1220,0,1344361,0
0304490190,2010,0,2481288,0
0304520010,1220,0,85242,0
0304520090,1220,0,16850,0
0304570000,2010,0,5370,0
0304590003,1220,0,40524,0
0304590006,1220,0,408393,0
0304590020,1220,0,29515,0
0304590025,1220,0,200934,0
0304590036,1220,0,68660,0
0304590045,2010,0,2798,0
0304590061,1220,0,3542,0
0304590091,2010,0,989110,0
0304610000,2010,0,300827,0
0304715000,1220,0,270885,0
0304751000,1220,0,366728,0
0304815010,1220,0,84145,0
0304815090,1220,0,1491641,0
0304835015,1220,0,16918,0
0304835020,1220,0,15915,0
0304835025,1220,0,26774,0
0304835025,2010,0,29993,0
0304870000,1220,0,931869,0
0304891025,1220,0,18557,0
0304891090,2010,0,15799,0
0304895003,1220,0,569758,0
0304895006,1220,0,1170738,0
0304895009,1220,0,106391,0
0304895015,1220,0,1628582,0
0304895030,1220,0,143084,0
0304895091,1220,0,234767,0
0304895091,2010,0,309372,0
0304991109,1220,0,83948,0
0304991190,2010,0,144177,0
0304991194,1220,0,19675,0
0304999190,1220,1,24241,24241
0305204065,1220,0,28667,0
0305320010,1220,0,428786,0
0305320090,1220,0,197464,0
0305394000,1220,0,2891,0
0305396180,1220,0,19391,0
0305410000,1220,1,28027,28027
0305410000,2010,1,73754,73754
0305420020,1220,0,14700,0
0305420050,1220,0,487623,0
0305420060,1220,0,314530,0
0305494045,2010,0,57997,0
0305510000,1220,0,661743,0
0305530000,1220,0,102544,0
0305590001,1220,0,5159,0
0305612000,1220,1,17056,17056
0305691021,1220,0,10280,0
0305691022,1220,0,337075,0
0305691029,1220,0,96500,0
0305691042,1220,0,151946,0
0305692000,1220,1,12256,12256
0306110010,2010,0,22883,0
0306120030,1220,0,1311049,0
0306120050,1220,0,6241258,0
0306120070,1220,0,68753693,0
0306142000,1220,1,6000,6000
0306144020,1220,0,322184179,0
0306144030,1220,0,700269,0
0306144090,1220,0,14336338,0
0306144090,2010,0,413658,0
0306160003,1220,0,50293,0
0306160040,1220,0,510158,0
0306170004,2010,0,70841,0
0306170005,2010,0,713850,0
0306170007,2010,0,377340,0
0306170008,2010,0,342019,0
0306170010,2010,0,477377,0
0306170011,2010,0,120295,0
0306170013,2010,0,6866,0
0306170016,2010,0,40513,0
0306170017,2010,0,3955787,0
0306170019,2010,0,172535,0
0306170020,2010,0,288909,0
0306170022,2010,0,87985,0
0306170023,2010,0,77824,0
0306170041,2010,0,1443889,0
0306170042,2010,0,620125,0
0306310000,2010,0,21432,0
0306320010,1220,0,60581595,0
0306320090,1220,0,15903,0
0306334000,1220,0,122489,0
0306350020,1220,0,158325,0
0306390100,2010,0,77746,0
0306950020,1220,0,67880,0
0306990100,1220,0,83376,0
0307110020,1220,0,32389,0
0307110060,1220,0,3990874,0
0307110060,2010,0,1300897,0
0307110080,1220,0,290973,0
0307120060,2010,0,26620,0
0307210000,1220,0,4097087,0
0307210000,2010,0,19094,0
0307220000,1220,0,602656,0
0307220000,2010,0,214265,0
0307310010,1220,0,2761749,0
0307310010,2010,0,84932,0
0307320000,2010,0,41230,0
0307420040,2010,0,2904,0
0307430050,2010,0,118800,0
0307520000,2010,0,1101266,0
0307590100,2010,0,69102,0
0307600000,2010,1,16259,16259
0307710070,1220,0,1016338,0
0307710070,2010,0,107037,0
0307710090,1220,0,11924,0
0307720055,1220,0,477927,0
0307720055,2010,0,12921,0
0307790160,1220,0,167130,0
0307810000,2010,0,106904,0
0307830000,2010,0,190474,0
0307910390,1220,0,103297,0
0307910390,2010,0,12637,0
0307920130,2010,0,107450,0
0307990300,2010,0,9500,0
0308110000,1220,0,221490,0
0308120000,1220,0,72732,0
0308120000,2010,0,194085,0
0308190100,1220,0,5040,0
0308190100,2010,0,104560,0
0308210021,1220,0,44373,0
0308210021,2010,0,10496,0
