hts10,cty_code,usmca_share
0302990000,2010,0
0303110000,1220,0
0303120012,1220,0
0303120022,1220,0
0303120032,1220,0
0303120052,1220,0
0303130000,1220,0
0303140000,1220,0
0303140000,2010,0
0303190100,1220,0
0303260000,1220,0
0303310010,1220,0
0303310020,1220,0
0303310030,1220,0
0303320000,1220,0
0303330000,1220,0.880650275745793
0303340000,1220,1
0303390110,1220,1
0303390195,1220,1
0303410000,1220,0
0303420020,2010,0
0303420060,2010,0
0303510000,1220,0
0303530000,2010,1
0303540000,2010,0
0303550000,2010,0
0303590000,1220,0
0303590000,2010,0
0303630090,1220,0
0303640000,1220,0
0303650000,1220,0
0303660000,1220,0
0303660000,2010,0
0303670000,1220,0
0303690000,1220,0
0303690000,2010,0
0303810091,2010,1
0303820000,1220,0
0303890001,1220,0
0303890004,1220,0
0303890010,1220,0
0303890028,1220,0
0303890031,1220,0
0303890034,1220,0
0303890037,1220,0
0303890043,1220,0
0303890043,2010,0
0303890055,2010,0
0303890058,1220,0
0303890061,1220,0
0303890064,1220,0
0303890067,1220,0
0303890067,2010,0
0303890070,2010,0
0303890080,1220,0
0303890080,2010,0
0303912000,1220,1
0303914040,1220,0
0303914095,1220,0
0303990000,1220,0
0303990000,2010,0
0304310000,2010,0
0304330000,1220,0
0304410010,1220,0
0304410090,1220,0
0304420000,1220,0
0304430010,1220,0
0304430020,1220,0
0304430025,1220,0
0304430090,1220,0
0304440010,1220,0
0304440015,1220,0
0304440020,1220,0
0304440025,1220,0
0304440090,1220,0
0304480000,2010,0
0304490106,1220,0
0304490109,1220,0
0304490115,1220,0
0304490120,1220,0
0304490190,1220,0
0304490190,2010,0
0304520090,1220,0
0304530090,2010,0
0304570000,2010,0
0304590003,1220,0
0304590006,1220,0
0304590009,1220,0
0304590020,1220,0
0304590025,1220,0
0304590036,1220,0
0304590091,1220,0
0304590091,2010,0
0304610000,2010,0
0304711000,1220,0
0304715000,1220,0
0304721000,1220,0
0304725000,1220,0
0304745000,2010,0
0304751000,1220,0
0304755000,1220,0
0304815010,1220,0
0304815090,1220,0
0304825000,1220,0
0304825000,2010,0
0304831010,1220,0
0304831025,1220,0
0304835015,1220,0
0304835020,1220,0
0304835020,2010,0
0304835025,1220,0
0304835025,2010,0
0304835090,1220,0
0304840000,1220,0
0304860000,1220,0
