revision,effective_date,n_products,n_countries,n_rows,mean_base_rate,mean_total_additional,mean_total_rate,max_total_rate,pct_232,pct_301,pct_ieepa_recip,pct_ieepa_fent,pct_usmca,n_negative_rates,n_na_total
basic,2025-01-01,18106,240,367877,0.0047,0.2309,0.2356,1.568,92.5,4.9,0,0,12.5,0,0
rev_1,2025-01-27,19733,240,387798,0.0052,0.2288,0.234,1.668,87.8,4.7,0,10.2,13.2,0,0
rev_2,2025-02-01,19733,240,387798,0.0052,0.2288,0.234,1.668,87.8,4.7,0,10.2,13.2,0,0
rev_3,2025-02-04,19733,240,424694,0.0059,0.2249,0.2308,1.668,80.1,4.2,0,16.3,14.4,0,0
rev_4,2025-03-04,19733,240,454828,0.006,0.2187,0.2246,1.668,81.6,4,0,15.2,14.4,0,0
rev_5,2025-03-05,19733,240,454828,0.006,0.2187,0.2247,1.668,81.6,4,0,15.2,14.4,0,0
rev_6,2025-03-12,19733,240,454828,0.006,0.2187,0.2246,1.668,81.6,4,0,15.2,14.4,0,0
rev_7,2025-04-02,19733,240,4541042,0.0125,0.1167,0.1292,2.008,8.2,0.4,99,1.5,23.7,0,0
rev_8,2025-04-03,19733,240,4541042,0.0125,0.1205,0.133,2.508,8.2,0.4,99,1.5,23.7,0,0
rev_9,2025-04-05,19733,240,4541042,0.0125,0.1221,0.1346,2.918,8.2,0.4,99,1.5,23.7,0,0
rev_10,2025-04-09,19733,240,4541042,0.0125,0.1221,0.1346,2.918,8.2,0.4,99,1.5,23.7,0,0
rev_11,2025-04-11,19733,240,4541042,0.0125,0.1221,0.1346,2.918,8.2,0.4,99,1.5,23.7,0,0
rev_12,2025-04-14,19733,240,4541042,0.0125,0.1133,0.1258,1.768,8.2,0.4,99,1.5,23.7,0,0
rev_13,2025-04-22,19733,240,4541042,0.0125,0.1133,0.1258,1.768,8.2,0.4,99,1.5,23.7,0,0
rev_14,2025-05-02,19733,240,4541042,0.0125,0.115,0.1275,1.768,8.2,0.4,99,1.5,23.7,0,0
rev_15,2025-05-14,19733,240,4541042,0.0125,0.115,0.1275,1.768,8.2,0.4,99,1.5,23.7,0,0
rev_16,2025-06-06,19769,240,4550387,0.0125,0.115,0.1275,1.768,8.2,0.4,99,1.5,23.6,0,0
rev_17,2025-07-01,19768,240,4550147,0.0125,0.1153,0.1278,1.768,8.2,0.4,99,1.5,23.6,0,0
rev_18,2025-08-07,19768,240,4544743,0.0123,0.1425,0.1547,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_19,2025-08-12,19768,240,4544743,0.0123,0.1425,0.1547,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_20,2025-08-20,19768,240,4544743,0.0123,0.1434,0.1557,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_21,2025-08-28,19768,240,4544743,0.0123,0.1434,0.1557,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_22,2025-09-03,19768,240,4544743,0.0123,0.1434,0.1557,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_23,2025-09-12,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_24,2025-09-19,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_25,2025-09-26,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_26,2025-10-06,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_27,2025-10-15,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_28,2025-10-22,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_29,2025-10-31,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_30,2025-11-05,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_31,2025-11-12,19768,240,4544550,0.0123,0.1434,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
rev_32,2025-11-15,19768,240,4544357,0.0122,0.1433,0.1556,1.818,8.2,0.4,99,1.5,23.5,0,0
2026_basic,2026-01-01,19768,240,4493207,0.0123,0.1434,0.1556,1.818,8.3,0.4,98.9,1.7,23.6,0,0
2026_rev_1,2026-01-16,19768,240,4493207,0.0123,0.1434,0.1556,1.818,8.3,0.4,98.9,1.7,23.6,0,0
2026_rev_2,2026-01-30,19855,240,4514581,0.0122,0.1433,0.1555,1.818,8.3,0.4,98.9,1.7,23.4,0,0
2026_rev_3,2026-02-12,19856,240,4514821,0.0122,0.1423,0.1545,1.818,8.3,0.4,98.9,1.7,23.4,0,0
2026_rev_4,2026-02-25,19856,240,4514731,0.0122,0.1423,0.1545,1.818,8.3,0.4,98.9,1.7,23.4,0,0
