"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.04.05","2","other","all","","200%","200%","In original loaves (provided for in subheading 0406.40.44, 0406.40.54, or 0406.40.70)"
"9903.04.10","2","other","all","","200%","200%","Other (provided for in subheading 0406.20.15, 0406.20.24, 0406.20.28, 0406.30.05, 0406.30.14, 0406.30.18, 0406.40.48, 0406.40.58, or 0406.40.70)"
"9903.04.15","2","other","all","","200%","200%","Edam and Gouda cheeses (provided for in subheading 0406.20.44, 0406.20.48, 0406.30.44, 0406.30.48, 0406.90.16 or 0406.90.18)"
"9903.04.20","2","other","all","","200%","200%","Cheeses and substitutes for cheeses, valued over 11.3Â¢ per kg, containing, or processed from, Italian-type cheeses, made from cow's milk, not in original loaves (Romano made from cow's milk, Reggiano"
"9903.04.25","2","other","all","","200%","200%","Endive, including Whitloof chicory, fresh, chilled, or frozen, not reduced in size nor otherwise prepared or preserved (provided for in subheading 0705.21 or 0705.29)"
"9903.04.30","2","other","all","","200%","200%","Olives, prepared or preserved, in brine, not ripe and not pitted or stuffed, not green in color and not packed in airtight containers of glass, metal, or glass and metal (provided for in subheading 20"
"9903.04.35","2","other","all","","200%","200%","Pork hams and shoulders, boned and cooked, packed in airtight containers holding less than 1.4 kg (provided for in subheading 1602.41.20 or 1602.42.20)"
"9903.04.40","2","other","all","","200%","200%","Carrots (whether or not reduced in size), prepared or preserved, but not packed in salt, not in brine, nor pickled, in airtight containers (provided for in subheading 2005.99.10)"
"9903.04.45","2","other","all","","200%","200%","White still wines produced from grapes, containing not over 14 percent of alcohol by volume, in containers each holding not over 3.8 liters, valued over $1.05 per liter (provided for in subheading 220"
"9903.04.50","2","other","all","","200%","200%","Brandy (other than pisco, singani and slivowitz), in containers each holding not over 3.8 liters, valued over $3.43 per liter (provided for in subheading 2208.20.40 or 2208.90.30)"
"9903.04.55","2","other","all","","200%","200%","Gin, in containers each holding not over 3.8 liters (provided for in subheading 2208.50)"
"9903.08.04","1","other","all","","100%","","Bath preparations, other than bath salts (provided for in subheading 3307.30.50)"
"9903.08.07","1","other","all","","100%","","Handbags, whether or not with shoulder strap, including those without handle, with outer surface of sheeting of plastic (provided for in subheading 4202.22.15)"
"9903.08.08","1","other","all","","100%","","Articles of a kind normally carried in the pocket or in the handbag, with outer surface of sheeting of plastic, of reinforced or laminated plastics (provided for in subheading 4202.32.10)"
"9903.08.09","1","other","all","","100%","","Uncoated felt paper and paperboard in rolls or sheets (provided for in subheading 4805.50)"
"9903.08.10","1","other","all","","100%","","Folding cartons, boxes and cases, of noncorrugated paper or paperboard (provided for in subheading 4819.20)"
"9903.08.11","1","other","all","","100%","","Lithographs on paper or paperboard, not over 0.51 mm in thickness, printed not over 20 years at time of importation (provided for in subheading 4911.91.20)"
"9903.08.13","1","other","all","","100%","","Bed linen, other than knit or crocheted, printed, of cotton, other than containing any embroidery, lace, braid, edging, trimming, piping or applique work, not napped (provided for in subheading 6302.2"
"9903.08.14","1","other","all","","100%","","Lead-acid storage batteries, other than of a kind used for starting piston engines or as the primary source of electrical power for electrically powered vehicles of subheading 8703.80.00 and 8703.90.0"
"9903.08.15","1","other","all","","100%","","Electrothermic coffee or tea makers, of a kind used for domestic purposes (provided for in subheading 8516.71)"
"9903.17.01",,"other","all","","","","Eligible to be imported under the first quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.02",,"other","all","","","","Eligible to be imported under the second quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
"9903.17.03",,"other","all","","","","Eligible to be imported under the third quota period specified in a notice issued by the United States Trade Representative in any 12 month period commencing on October 1 in any year"
