"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.80.20",,"section_232","all","","Free","","Line pipe not exceeding 406.4 mm in outside diameter, provided for in subheading 7304.19.10 (except for statistical reporting number 7304.19.1080), 7304.19.50 (except for statistical reporting number "
"9903.80.21",,"section_232","all","","Free","","Other line pipe, provided for in subheading 7306.19.10 (except for statistical reporting number 7306.19.1010) or 7306.19.51 (except for statistical reporting number 7306.19.5110)"
"9903.80.22",,"section_232","all","","Free","","Standard pipe, provided for in subheading 7304.39.00 (except for statistical reporting numbers 7304.39.0002, 7304.39.0004, 7304.39.0006, 7304.39.0008, 7304.39.0028, 7304.39.0032, 7304.39.0040, 7304.39"
"9903.80.23",,"section_232","all","","Free","","Structural pipe and tube, provided for in subheading 7304.90.10, 7304.90.30, 7305.31.20, 7305.31.40, 7305.31.60 (except for statistical reporting number 7305.31.6010), 7306.30.30, 7306.50.30, 7306.61."
"9903.80.24",,"section_232","all","","Free","","Mechanical tubing and other products, provided for in subheading 7304.31.30, 7304.31.60 (except for statistical reporting number 7304.31.6010), 7304.39.00 (except for statistical reporting numbers 730"
"9903.80.25",,"section_232","all","","Free","","Pressure tubing and other products, provided for in subheading 7304.31.60 (except for statistical reporting number 7304.31.6050), 7304.39.00 (except for statistical reporting numbers 7304.39.0016, 730"
"9903.80.26",,"section_232","all","","Free","","Tubes or pipes for piling and other products, provided for in subheading 7305.39.10 or 7305.39.50"
"9903.80.27",,"section_232","all","","Free","","Pipes and tubes, not specially provided for, provided for in subheading 7304.51.50 (except for statistical reporting numbers 7304.51.5015, 7304.51.5045 and 7304.51.5060), 7305.90.10, 7305.90.50, 7306."
"9903.80.28",,"section_232","all","","Free","","Hot-rolled sheet of stainless steel, provided for in subheading 7219.13.00, 7219.14.00, 7219.23.00 or 7219.24.00"
"9903.80.29",,"section_232","all","","Free","","Hot-rolled strip of stainless steel and other products, provided for in subheading 7220.12.10 or 7220.12.50"
"9903.80.30",,"section_232","all","","Free","","Hot-rolled plate of stainless steel, in coils, and other products, provided for in subheading 7219.11.00 or 7219.12.00"
"9903.80.31",,"section_232","all","","Free","","Cold-rolled sheet of stainless steel and other products, provided for in subheading 7219.32.00, 7219.33.00, 7219.34.00, 7219.35.00 or 7219.90.00"
"9903.80.32",,"section_232","all","","Free","","Cold-rolled strip of stainless steel, provided for in subheading 7220.20.10, 7220.20.60, 7220.20.70, 7220.20.80, 7220.20.90 or 7220.90.00"
"9903.80.33",,"section_232","all","","Free","","Cold-rolled plate of stainless steel, in coils, provided for in subheading 7219.31.00 (except for statistical reporting number 7219.31.0050)"
"9903.80.34",,"section_232","all","","Free","","Wire of stainless steel, drawn, provided for in subheading 7223.00.10, 7223.00.50 or 7223.00.90"
"9903.80.35",,"section_232","all","","Free","","Pipes and tubes of stainless steel, provided for in subheading 7304.41.30, 7304.41.60, 7304.49.00, 7305.31.60 (except for statistical reporting number 7305.31.6090), 7306.40.10, 7306.40.50, 7306.61.70"
"9903.80.36",,"section_232","all","","Free","","Line pipe of stainless steel, provided for in subheading 7304.11.00 or 7306.11.00"
"9903.80.37",,"section_232","all","","Free","","Bars and rods of stainless steel, cold finished, provided for in subheading 7222.20.00 or 7222.30.00"
"9903.80.38",,"section_232","all","","Free","","Bars and rods of stainless steel, hot-rolled, provided for in heading 7221.00.00 (except for statistical reporting numbers 7221.00.0017, 7221.00.0018 and 7221.00.0030) or subheading 7222.11.00, 7222.1"
"9903.80.39",,"section_232","all","","Free","","Blooms, billets and slabs of stainless steel and other products, provided for in subheading 7218.91.00 and 7218.99.00"
"9903.80.40",,"section_232","all","","Free","","Oil country pipe and tube goods of stainless steel and other products, provided for in subheading 7304.22.00, 7304.24.30, 7304.24.40, 7304.24.60, 7306.21.30, 7306.21.40 or 7306.21.80"
"9903.80.41",,"section_232","all","","Free","","Ingot and other primary forms of stainless steel, provided for in subheading 7218.10.00"
"9903.80.42",,"section_232","all","","Free","","Flat-rolled products of stainless steel, provided for in subheading 7219.21.00, 7219.22.00, 7219.31.00 (except for statistical reporting number 7219.31.0010) or 7220.11.00"
"9903.80.43",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel, provided for in heading 7221.00.00 (except for statistical reporting numbers 7221.00.0005, 7221.00.0045 and 7221.00.0075)"
"9903.80.44",,"section_232","all","","Free","","Angles, shapes and sections of stainless steel, provided for in subheading 7222.40.30 (except for statistical reporting numbers 7222.40.3065 and 7222.40.3085) or 7222.40.60"
"9903.80.45",,"section_232","all","","Free","","Angles, shapes and sections, provided for in subheading 7216.31.00, 7216.32.00, 7216.33.00, 7216.40.00, 7216.50.00, 7216.99.00, 7228.70.30 (except for statistical reporting numbers 7228.70.3060 and 72"
