"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.81.35",,"section_232","all","","Free","","Tin plate (provided for in subheading 7210.11.00, 7210.12.00 or 7212.10.00)"
"9903.81.36",,"section_232","all","","Free","","Silicon electrical steel sheets and strip (provided for in subheading 7225.11.00, 7225.19.00, 7226.11.10, 7226.11.90, 7226.19.10 or 7226.19.90)"
"9903.81.37",,"section_232","all","","Free","","Sheets and strip electrolytically coated or plated with zinc (provided for in subheading 7210.30.00, 7210.70.60 (except for statistical reporting number 7210.70.6060 or 7210.70.6090), 7212.20.00, 7225"
"9903.81.38",,"section_232","all","","Free","","Oil country pipe and tube goods (provided for in subheading 7304.23.30, 7304.23.60, 7304.29.10, 7304.29.20, 7304.29.31, 7304.29.41, 7304.29.50, 7304.29.61, 7305.20.20, 7305.20.40, 7305.20.60, 7305.20."
"9903.81.39",,"section_232","all","","Free","","Line pipe exceeding 406.4 mm in outside diameter (provided for in subheading 7304.19.10 (except for statistical reporting number 7304.19.1020, 7304.19.1030, 7304.19.1045 or 7304.19.1060), 7304.19.50 ("
"9903.81.40",,"section_232","all","","Free","","Line pipe not exceeding 406.4 mm in outside diameter (provided for in subheading 7304.19.10 (except for statistical reporting number 7304.19.1080), 7304.19.50 (except for statistical reporting number "
"9903.81.41",,"section_232","all","","Free","","Other line pipe (provided for in subheading 7306.19.10 (except for statistical reporting number 7306.19.1010) or 7306.19.51 (except for statistical reporting number 7306.19.5110))"
"9903.81.42",,"section_232","all","","Free","","Standard pipe (provided for in subheading 7304.39.00 (except for statistical reporting number 7304.39.0002, 7304.39.0004, 7304.39.0006, 7304.39.0008, 7304.39.0028, 7304.39.0032, 7304.39.0040, 7304.39."
"9903.81.43",,"section_232","all","","Free","","Structural pipe and tube (provided for in subheading 7304.90.10, 7304.90.30, 7305.31.20, 7305.31.40, 7305.31.60 (except for statistical reporting number 7305.31.6010), 7306.30.30, 7306.50.30, 7306.61."
"9903.81.44",,"section_232","all","","Free","","Mechanical tubing (provided for in subheading 7304.31.30, 7304.31.60 (except for statistical reporting number 7304.31.6010), 7304.39.00 (except for statistical reporting number 7304.39.0002, 7304.39.0"
"9903.81.45",,"section_232","all","","Free","","Pressure tubing (provided for in subheading 7304.31.60 (except for statistical reporting number 7304.31.6050), 7304.39.00 (except for statistical reporting number 7304.39.0016, 7304.39.0020, 7304.39.0"
"9903.81.46",,"section_232","all","","Free","","Tubes or pipes for piling (provided for in subheading 7305.39.10 or 7305.39.50)"
"9903.81.47",,"section_232","all","","Free","","Pipes and tubes, not specially provided for (provided for in subheading 7304.51.50 (except for statistical reporting number 7304.51.5015, 7304.51.5045 or 7304.51.5060), 7305.90.10, 7305.90.50, 7306.90"
"9903.81.48",,"section_232","all","","Free","","Hot-rolled sheet of stainless steel (provided for in subheading 7219.13.00, 7219.14.00, 7219.23.00 or 7219.24.00)"
"9903.81.49",,"section_232","all","","Free","","Hot-rolled strip of stainless steel (provided for in subheading 7220.12.10 or 7220.12.50)"
"9903.81.50",,"section_232","all","","Free","","Hot-rolled plate of stainless steel, in coils (provided for in subheading 7219.11.00 or 7219.12.00)"
"9903.81.51",,"section_232","all","","Free","","Cold-rolled sheet of stainless steel (provided for in subheading 7219.32.00, 7219.33.00, 7219.34.00, 7219.35.00 or 7219.90.00)"
"9903.81.52",,"section_232","all","","Free","","Cold-rolled strip of stainless steel (provided for in subheading 7220.20.10, 7220.20.60, 7220.20.70, 7220.20.80, 7220.20.90 or 7220.90.00)"
"9903.81.53",,"section_232","all","","Free","","Cold-rolled plate of stainless steel, in coils (provided for in subheading 7219.31.00 (except for statistical reporting number 7219.31.0050))"
"9903.81.54",,"section_232","all","","Free","","Wire of stainless steel, drawn (provided for in subheading 7223.00.10, 7223.00.50 or 7223.00.90)"
"9903.81.55",,"section_232","all","","Free","","Pipes and tubes of stainless steel (provided for in subheading 7304.41.30, 7304.41.60, 7304.49.00, 7305.31.60 (except for statistical reporting number 7305.31.6090), 7306.40.10, 7306.40.50, 7306.61.70"
"9903.81.56",,"section_232","all","","Free","","Line pipe of stainless steel (provided for in subheading 7304.11.00 or 7306.11.00)"
"9903.81.57",,"section_232","all","","Free","","Bars and rods of stainless steel, cold finished (provided for in subheading 7222.20.00 or 7222.30.00)"
"9903.81.58",,"section_232","all","","Free","","Bars and rods of stainless steel, hot-rolled (provided for in heading 7221.00.00 (except for statistical reporting number 7221.00.0017, 7221.00.0018 or 7221.00.0030) or subheading 7222.11.00, 7222.19."
"9903.81.59",,"section_232","all","","Free","","Blooms, billets and slabs of stainless steel (provided for in subheading 7218.91.00 and 7218.99.00)"
"9903.81.60",,"section_232","all","","Free","","Oil country pipe and tube goods of stainless steel (provided for in subheading 7304.22.00, 7304.24.30, 7304.24.40, 7304.24.60, 7306.21.30, 7306.21.40 or 7306.21.80)"
"9903.81.61",,"section_232","all","","Free","","Ingot and other primary forms of stainless steel (provided for in subheading 7218.10.00)"
"9903.81.62",,"section_232","all","","Free","","Flat-rolled products of stainless steel (provided for in subheading 7219.21.00, 7219.22.00, 7219.31.00 (except for statistical reporting number 7219.31.0010) or 7220.11.00)"
"9903.81.63",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel (provided for in heading 7221.00.00 (except for statistical reporting number 7221.00.0005, 7221.00.0045 or 7221.00.0075))"
"9903.81.64",,"section_232","all","","Free","","Angles, shapes and sections of stainless steel (provided for in subheading 7222.40.30 (except for statistical reporting number 7222.40.3065 or 7222.40.3085) or 7222.40.60)"
"9903.81.65",,"section_232","all","","Free","","Angles, shapes and sections (provided for in subheading 7216.31.00, 7216.32.00, 7216.33.00, 7216.40.00, 7216.50.00, 7216.99.00, 7228.70.30 (except for statistical reporting number 7228.70.3060 or 7228"
"9903.81.66",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils (provided for in subheading 7213.91.30, 9213.91.45, 7213.91.60, 7213.99.00 (except for statistical reporting number 7213.99.0060), 7227.20.00 (exc"
"9903.81.67",,"section_232","all","","Free","","Wire (other than of stainless steel) (provided for in subheading 7217.10.10, 7217.10.20, 7217.10.30, 7217.10.40, 7217.10.50, 7217.10.60, 7217.10.70, 7217.10.80, 7217.10.90, 7217.20.15, 7217.20.30, 721"
"9903.81.68",,"section_232","all","","Free","","Bars, hot-rolled, not of stainless steel (provided for in subheading 7213.20.00, 7213.99.00 (except for statistical reporting number 7213.99.0030 or 7213.99.0090), 7214.10.00, 7214.30.00, 7214.91.00, "
"9903.81.69",,"section_232","all","","Free","","Bars, cold-finished, not of stainless steel (provided for in subheading 7215.10.00, 7215.50.00, 7215.90.30, 7215.90.50, 7228.20.50, 7228.50.50 or 7228.60.80)"
"9903.81.70",,"section_232","all","","Free","","Angles, shapes and sections of a type known as â€œlight-shaped barsâ€ (provided for in subheading 7216.10.00, 7216.21.00, 7216.22.00 or 7228.70.30 (except for statistical reporting number 7228.70.301"
"9903.81.71",,"section_232","all","","Free","","Reinforcing bars (provided for in subheading 7213.10.00, 7214.20.00 or 7228.30.80 (except for statistical reporting number 7228.30.8005, 7228.30.8015, 7228.30.8041, 7228.30.8045 or 7228.30.8070))"
"9903.81.72",,"section_232","all","","Free","","Sheet piling (provided for in subheading 7301.10.00)"
"9903.81.73",,"section_232","all","","Free","","Nonenumerated railroad good[s] (provided for in subheading 7302.40.00, 7302.90.10 or 7302.90.90)"
"9903.81.74",,"section_232","all","","Free","","Rails other than those known as â€œstandard railsâ€ (provided for in subheading 7302.10.10 (except for statistical reporting number 7302.10.1010, 7302.10.1035, 7302.10.1065 or 7302.10.1075))"
"9903.81.75",,"section_232","all","","Free","","Rails known as â€œstandard railsâ€ (provided for in subheading 7302.10.10 (except for statistical reporting number 7302.10.1015, 7302.10.1025, 7302.10.1045 or 7302.10.1055) or 7302.10.50)"
"9903.81.76",,"section_232","all","","Free","","Products of tool steel (provided for in subheading 7224.10.00 (except for statistical reporting number 7224.10.0005 or 7224.10.0075), 7224.90.00 (except for statistical reporting number 7224.90.0005, "
"9903.81.77",,"section_232","all","","Free","","Blooms, billets and slabs, semi-finished (provided for in subheading 7207.11.00, 7207.12.00, 7207.19.00, 7207.20.00 or 7224.90.00 (except for statistical reporting number 7224.90.0015, 7224.90.0025 or"
"9903.81.78",,"section_232","all","","Free","","Ingots (provided for in subheading 7206.10.00, 7206.90.00 or 7224.10.00 (except for statistical reporting number 7224.10.0045))"
"9903.81.80",,"section_232","all","","Free","","Iron or steel products of Japan, the United Kingdom, or of the European Union, where the steel was melted and poured in the United Kingdom enumerated in U.S. note 16 to this subchapter, when such prod"
"9903.81.81",,"section_232","all","","Free","","Iron or steel products described in subdivision (b) of note 16 to this subchapter that are melted and poured in a United Kingdom facility and are products of the member countries of the European Union"
"9903.81.82",,"section_232","all","","Free","","Iron or steel products described in subdivision (b) of note 16 to this subchapter that are melted and poured in Ukraine and are products of the member countries of the European Union enumerated in U.S"
"9903.81.83","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","","Iron or steel products described in subdivision (b) of note 16 to this subchapter, when such goods are products of Ukraine and are not accompanied by certificates of origin"
"9903.81.84","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","","Derivative iron or steel products enumerated in note 16(a)(ii) to this subchapter, when such goods are products of Ukraine and are not accompanied by certificates of origin"
"9903.81.85","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","","Steel articles of Mexico enumerated in U.S. note 16 to this subchapter, where the steel was melted and poured in a country other than the United States, Mexico or Canada"
"9903.81.86","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","","Derivative steel articles of Mexico enumerated in U.S. note 16 to this subchapter, where the steel was melted and poured in a country other than the United States, Mexico or Canada"
"9903.81.87","0.5","section_232","all_except","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%.","Except for derivative iron or steel products described in headings 9903.81.89, 9903.81.90 or 9903.81.91, products of iron or steel provided for in the tariff headings or subheadings enumerated in subd"
"9903.81.88","0.5","section_232","all","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%.","Products of iron or steel provided for in the tariff headings or subheadings enumerated in subdivision (j) of note 16 to this subchapter, admitted to a U.S. foreign trade zone under â€˜â€˜privileged f"
"9903.81.89","0.5","section_232","all","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%.","Derivative iron or steel products provided for in the tariff provisions enumerated in subdivision (l) of note 16 to this subchapter."
"9903.81.90","0.5","section_232","all","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%.","Except as provided in heading 9903.81.92, derivative iron or steel products provided for in the tariff subheadings enumerated in subdivision (m) of note 16 to this subchapter."
"9903.81.91","0.5","section_232","all","","The duty provided in the applicable subheading + a duty of 50% upon the value of the steel content.","The duty provided in the applicable subheading + a duty of 50% upon the value of the steel content.","Except as provided in heading 9903.81.92, derivative iron or steel products provided for in the tariff subheadings enumerated in subdivision (n) of note 16 to this subchapter."
"9903.81.92",,"section_232","all","","The duty provided in the applicable subheading.","The duty provided in the applicable subheading.","Derivative iron or steel products provided for in the tariff subheadings enumerated in subdivision subdivisions (m), (n), (t) or (u) of note 16 to this subchapter, where the derivative iron or steel p"
"9903.81.93","0.5","section_232","all_except","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%","Except as provided in headings 9903.81.91 or 9903.81.92, derivative products of iron or steel, as specified in subdivisions (l) and (m) of note 16 to this subchapter, admitted to a U.S. foreign trade "
"9903.81.94","0.25","section_232","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except for derivative iron or steel products described in headings 9903.81.96, 9903.81.97 or 9903.81.98, products of iron or steel of the United Kingdom provided for in the tariff headings or subheadi"
"9903.81.95","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Products of iron or steel of the United Kingdom provided for in the tariff headings or subheadings enumerated in subdivision (q) of note 16 to this subchapter, admitted to a U.S. foreign trade zone un"
"9903.81.96","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Derivative iron or steel products of the United Kingdom provided for in the tariff subheadings enumerated in subdivision (s) of note 16 to this subchapter"
"9903.81.97","0.25","section_232","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except as provided in heading 9903.81.92, derivative iron or steel products of the United Kingdom provided for in the tariff subheadings enumerated in subdivision (t) of note 16 to this subchapter"
"9903.81.98","0.25","section_232","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except as provided in heading 9903.81.92, derivative iron or steel products of the United Kingdom provided for in the tariff subheadings enumerated in subdivision (u) of note 16 to this subchapter"
"9903.81.99","0.25","section_232","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except as provided in headings 9903.81.98 or 9903.81.92, derivative products of iron or steel of the United Kingdom, as specified in subdivisions (s) and (t) of note 16 to this subchapter, admitted to"
"9903.85.01","0.1","section_301","all_except","","The duty provided in the applicable subheading + 10%","The duty provided in the applicable subheading + 10%","Except for products described in heading 9903.85.03 or heading 9903.85.21, 9903.85.25, subheadings 9903.85.27 through 9903.85.44 and subheadings 9903.85.50 through 9903.85.66, products of aluminum pro"
"9903.85.02","0.5","section_301","all_except","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%.","Except as provided in headings 9903.85.67 or 9903.85.69, products of aluminum provided for in the tariff headings or subheadings enumerated in subdivision (g) of note 19 to this subchapter."
"9903.85.03","0.1","section_301","all_except","","The duty provided in the applicable subheading + 10%","The duty provided in the applicable subheading + 10%","Derivative aluminum products enumerated in U.S. note 19(a)(iii) to this subchapter, except products of Argentina, of Australia, of Canada, of Mexico (except as specified in subdivision (a)(ix) of such"
"9903.85.04","0.5","section_301","all","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%.","Except as provided in headings 9903.85.68 or 9903.85.70, derivative aluminum products provided for in the tariff headings or subheadings enumerated in subdivision (i) of note 19 to this subchapter."
"9903.85.05",,"section_301","all","","The duty provided in the applicable subheading","","Unwrought aluminum, provided for in heading 7601"
"9903.85.06",,"section_301","all","","The duty provided for in the applicable subheading","","Wrought aluminum, provided for in headings 7604, 7605, 7606, 7607, 7608, 7609 and castings and forgings of aluminum provided for in subheading 7616.99.51"
"9903.85.07","0.5","section_301","all","","The duty provided in the applicable subheading + 50%.","The duty provided in the applicable subheading + 50%.","Except as provided in headings 9903.85.09, 9903.85.68 or 9903.85.70, derivative aluminum products, provided for in the tariff provisions enumerated in subdivision (j) of note 19 to this subchapter."
"9903.85.08","0.5","section_301","all","","The duty provided in the applicable subheading + a duty of 50% upon the value of the aluminum content.","The duty provided in the applicable subheading + a duty of 50% upon the value of the aluminum content.","Except as provided in heading 9903.85.09, 9903.85.68 or 9903.85.70, derivative aluminum products, provided for in the tariff provisions enumerated in subdivision (k) of note 19 to this subchapter."
"9903.85.09",,"section_301","all","","The duty provided in the applicable subheading.","The duty provided in the applicable subheading","Except as provided in heading 9903.85.68 or 9903.85.70, derivative aluminum products provided for in the tariff headings and subheadings enumerated in subdivisions (j), (k), (r) or (s) of note 19 to t"
"9903.85.11",,"section_301","all","","The duty provided in the applicable subheading","","Goods granted relief from the application of quantitative limitation otherwise imposed in relation to subheadings 9903.85.05 and 9903.85.06, for any aluminum article determined by the Secretary not to"
"9903.85.12","0.25","section_301","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except as provided in headings 9903.85.67 or 9903.85.69, products of aluminum of the United Kingdom provided for in the tariff headings or subheadings enumerated in subdivision (o) of note 19 to this "
"9903.85.13","0.25","section_301","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except as provided in headings 9903.85.68 or 9903.85.70, derivative aluminum products of the United Kingdom provided for in the tariff headings or subheadings enumerated in subdivision (q) of note 19 "
"9903.85.14","0.25","section_301","all_except","","The duty provided in the applicable subheading + 25%","The duty provided in the applicable subheading + 25%","Except as provided in headings 9903.85.09, 9903.85.68 or 9903.85.70, derivative aluminum products of the United Kingdom, provided for in the tariff provisions enumerated in subdivision (r) of note 19 "
"9903.85.15","0.25","section_301","all","","The duty provided in the applicable subheading + a duty of 25% upon the value of the aluminum content","The duty provided in the applicable subheading + a duty of 25% upon the value of the aluminum content.","Except as provided in heading 9903.85.09, 9903.85.68 or 9903.85.70, derivative aluminum products, provided for in the tariff provisions enumerated in subdivision (s) of note 19 to this subchapter"
"9903.85.21","0.1","section_301","all","","The duty provided in the applicable subheading + 10%","The duty provided in the applicable subheading + 10%","Aluminum products of Canada enumerated in U.S. note 19(a)(iv) to this subchapter"
"9903.85.25",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum products of member countries of the European Union enumerated in U.S. note 19(a)(v) to this subchapter, when such products are covered by an exclusion granted by the Secretary of Commerce und"
"9903.85.27",,"section_301","all","","The duty provided in the applicable subheading","","Unwrought aluminum, not alloyed (provided for in subheading 7601.10.30 or 7601.10.60)"
"9903.85.29",,"section_301","all","","The duty provided in the applicable subheading","","Other unwrought products, alloyed (provided for in subheading 7601.20.30, 7601.20.60 or 7601.20.90)"
"9903.85.31",,"section_301","all","","The duty provided in the applicable subheading","","Bars, rods and profiles of aluminum, not alloyed (provided for in subheading 7604.10.10, 7604.10.30 or 7604.10.50)"
"9903.85.32",,"section_301","all","","The duty provided in the applicable subheading","","Hollow profiles of aluminum alloys (provided for in subheading 7604.21.00)"
"9903.85.33",,"section_301","all","","The duty provided in the applicable subheading","","Bars, rods, and solid profiles, alloyed (provided for in subheading 7604.29.10, 7604.29.30 or 7604.29.50)"
"9903.85.34",,"section_301","all","","The duty provided in the applicable subheading","","Wire of aluminum, of which the maximum cross-sectional dimension exceeds 7 mm (provided for in subheading 7605.11.00 or 7605.21.00)"
"9903.85.35",,"section_301","all","","The duty provided in the applicable subheading","","Other wire of aluminum (provided for in subheading 7605.19.00 or 7605.29.00)"
"9903.85.36",,"section_301","all","","The duty provided in the applicable subheading","","Products meeting the requirements of note 1(d) to this chapter and with a thickness of more than 6.3 mm (described in statistical reporting number 7606.11.3030, 7606.12.3015, 7606.12.3025, 7606.12.303"
"9903.85.37",,"section_301","all","","The duty provided in the applicable subheading","","Products meeting the requirements of note1(d) to this chapter and with a thickness not exceeding 6.3 mm (described in statistical reporting number 7606.11.3060, 7606.12.3091, 7606.12.3096, 7606.91.309"
"9903.85.38",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum alloy can stock (described in statistical reporting number 7606.12.3045 or 7606.12.3055)"
"9903.85.39",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum foil, not backed (described in statistical reporting number 7607.11.3000, 7607.11.6010, 7607.11.6090, 7607.11.9030, 7607.11.9060, 7607.11.9090, 7607.19.1000, 7607.19.3000 or 7607.19.6000)"
"9903.85.40",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum foil, backed (described in statistical reporting number 7607.20.1000 or 7607.20.5000)"
"9903.85.41",,"section_301","all","","The duty provided in the applicable subheading","","Pipes and tubes of aluminum, seamless (described in statistical reporting number 7608.10.0030 or 7608.20.0030)"
"9903.85.42",,"section_301","all","","The duty provided in the applicable subheading","","Pipes and tubes of aluminum, other than seamless (described in statistical reporting number 7608.10.0090 or 7608.20.0090)"
"9903.85.43",,"section_301","all","","The duty provided in the applicable subheading","","Tube or pipe fittings of aluminum (for example, couplings, elbows, sleeves) (described in statistical reporting number 7609.00.0000)"
"9903.85.44",,"section_301","all","","The duty provided in the applicable subheading","","Castings or forgings of aluminum (described in statistical reporting number 7616.99.5160 or 7616.99.5170)"
"9903.85.50",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum products of the United Kingdom, when such products are covered by an exclusion granted by the Secretary of Commerce under note 19(c) to this subchapter, provided that such goods shall be coun"
"9903.85.51",,"section_301","all","","The duty provided in the applicable subheading","","Unwrought aluminum, not alloyed (provided for in subheading 7601.10.30 or 7601.10.60)"
"9903.85.52",,"section_301","all","","The duty provided in the applicable subheading","","Other unwrought products, alloyed (provided for in subheading 7601.20.30, 7601.20.60 or       7601.20.90)"
"9903.85.53",,"section_301","all","","The duty provided in the applicable subheading","","Bars, rods and profiles of aluminum, not alloyed (provided for in subheading 7604.10.10, 7604.10.30 or 7604.10.50)"
"9903.85.54",,"section_301","all","","The duty provided in the applicable subheading","","Hollow profiles of aluminum alloys (provided for in subheading 7604.21.00)"
"9903.85.55",,"section_301","all","","The duty provided in the applicable subheading","","Bars, rods, and solid profiles, alloyed (provided for in subheading 7604.29.10, 7604.29.30 or 7604.29.50)"
"9903.85.56",,"section_301","all","","The duty provided in the applicable subheading","","Wire of aluminum, of which the maximum cross-sectional dimension exceeds 7 mm (provided for in subheading 7605.11.00 or 7605.21.00)"
"9903.85.57",,"section_301","all","","The duty provided in the applicable subheading","","Other wire of aluminum (provided for in subheading 7605.19.00 or 7605.29.00)"
"9903.85.58",,"section_301","all","","The duty provided in the applicable subheading","","Products meeting the requirements of note 1(d) to chapter 76 and with a thickness of more than 6.3 mm (described in statistical reporting number 7606.11.3030, 7606.12.3015, 7606.12.3025, 7606.12.3035,"
"9903.85.59",,"section_301","all","","The duty provided in the applicable subheading","","Products meeting the requirements of note 1(d) to chapter 76 and with a thickness of more than 6.3 mm (described in statistical reporting number 7606.11.3060, 7606.12.3091, 7606.12.3096, 7606.91.3095,"
"9903.85.60",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum alloy can stock (described in statistical reporting number 7606.12.3045 or 7606.12.3055"
"9903.85.61",,"section_301","all","","The duty provided in the applicable subheading","","Pipes and tubes of aluminum, seamless (described in statistical reporting number 7608.10.0030 or 7608.20.0030)"
"9903.85.62",,"section_301","all","","The duty provided in the applicable subheading","","Pipes and tubes of aluminum, other than seamless (described in statistical reporting number 7608.10.0090 or 7608.20.0090)"
"9903.85.63",,"section_301","all","","The duty provided in the applicable subheading","","Tube or pipe fittings of aluminum (for example, couplings, elbows, sleeves) (described in statistical reporting number 7609.00.0000)"
"9903.85.64",,"section_301","all","","The duty provided in the applicable subheading","","Castings or forgings of aluminum (described in statistical reporting number 7616.99.5160 or 7616.99.5170"
"9903.85.65",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum foil, not backed (described in statistical reporting number 7607.11.3000, 7607.11.6010, 7607.11.6090, 7607.11.9030, 7607.11.9060, 7607.11.9090, 7607.19.1000, 7607.19.3000 or 7607.19.6000)"
"9903.85.66",,"section_301","all","","The duty provided in the applicable subheading","","Aluminum foil, backed (described in statistical reporting number 7607.20.1000 or 7607.20.5000)"
"9903.85.67","2","section_301","all","","The duty provided in the applicable subheading + 200%","The duty provided in the applicable subheading + 200%","Aluminum articles that are the product of Russia, or where any amount of primary aluminum used in the manufacture of the aluminum articles is smelted in Russia, or where the aluminum articles are cast"
"9903.85.68","2","section_301","all","","The duty provided in the applicable subheading + 200%","The duty provided in the applicable subheading + 200%","Derivative aluminum articles that are products of Russia, or where any amount of primary aluminum used in the manufacture of the derivative articles is smelted in Russia, or where the derivative alumi"
"9903.85.69","2","section_301","all_except","","The duty provided in the applicable subheading + 200%","The duty provided in the applicable subheading + 200%","Except for goods provided for in heading 9903.85.67, aluminum articles that are the product of Russia, or where any amount of primary aluminum used in the manufacture of the aluminum articles is smelt"
"9903.85.70","2","section_301","all_except","","The duty provided in the applicable subheading + 200%","The duty provided in the applicable subheading + 200%","Except for goods provided for in heading 9903.85.68, derivative aluminum articles that are products of Russia, or where any amount of primary aluminum used in the manufacture of the derivative aluminu"
"9903.85.71","0.1","section_301","all","","The duty provided in the applicable subheading + 10%","","Aluminum articles of Mexico enumerated in U.S. note 19 to this subchapter, containing primary aluminum for which the primary country of smelt, secondary country of smelt, or country of most recent cas"
"9903.85.72","0.1","section_301","all","","The duty provided in the applicable subheading + 10%","","Derivative aluminum articles of Mexico enumerated in U.S. note 19(a)(iii) to this subchapter, containing primary aluminum for which the primary country of smelt, secondary country of smelt, or country"
"9903.88.01","0.25","section_301","specific","CN","The duty provided in the applicable subheading plus 25%","","Except as provided in headings 9903.88.05, 9903.88.06, 9903.88.07, 9903.88.08, 9903.88.10, 9903.88.11, 9903.88.14, 9903.88.19, 9903.88.50, 9903.88.52, 9903.88.58, 9903.88.60, 9903.88.62, 9903.88.66, 9"
"9903.88.02","0.25","section_301","specific","CN","The duty provided in the applicable subheading + 25%","","Except as provided in headings 9903.88.12, 9903.88.17, 9903.88.20, 9903.88.54, 9903.88.59, 9903.88.61, 9903.88.63, 9903.88.66, 9903.88.67, 9903.88.68, 9903.88.69, or 9903.88.70, articles the product o"
"9903.88.03","0.25","section_301","specific","CN","The duty provided in the applicable subheading + 25%","","Except as provided in headings 9903.88.13, 9903.88.18, 9903.88.33, 9903.88.34, 9903.88.35, 9903.88.36, 9903.88.37, 9903.88.38, 9903.88.40, 9903.88.41, 9903.88.43, 9903.88.45, 9903.88.46, 9903.88.48, 9"
"9903.88.04","0.25","section_301","specific","CN","The duty provided in the applicable subheading + 25%","","Except as provided in headings 9903.88.33, 9903.88.34, 9903.88.36, 9903.88.37, 9903.88.38, 9903.88.40, 9903.88.46, 9903.88.48, 9903.88.56, 9903.88.64, 9903.88.66, 9903.88.67, or 9903.88.69, articles t"
"9903.88.05",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(h) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.06",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(i) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.07",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(j) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.08",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(k) to this subchapter, each covered by an exclusion granted by the United States Trade Representative"
"9903.88.09","0.1","section_301","specific","CN","The duty provided in the applicable subheading + 10%","","Articles the product of China, as provided for in U.S. note 20(l) to this subchapter and as provided for in the subheadings enumerated in U.S. notes 20(f) or 20(g) to this subchapter, if exported to t"
"9903.88.10",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(m) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.11",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(n) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.12",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(o) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.13",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(p) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.14",,"section_301","specific","CN","The duty provided in the applicable subheading","","Articles the product of China, as provided for in U.S. note 20(q) to this subchapter, each covered by an exclusion granted by the U.S. Trade Representative"
"9903.88.15","0.075","section_301","specific","CN","The duty provided in the applicable subheading + 7.5%","","Except as provided in headings 9903.88.39, 9903.88.42, 9903.88.44, 9903.88.47, 9903.88.49, 9903.88.51, 9903.88.53, 9903.88.55, 9903.88.57, 9903.88.65, 9903.88.66, 9903.88.67, 9903.88.68, or 9903.88.69"
"9903.88.16","0.15","section_301","specific","CN","The duty provided in the applicable subheading + 15%","","Articles the product of China, as provided for in U.S. note 20(t) to this subchapter and as provided for in the subheadings enumerated in U.S. note 20(u) [Compiler's note: provision suspended.]"
