"revision","total_ch99","count_9903_01","count_9903_02","rate_01_20_china_fent","has_01_01_mx_fent","has_01_10_ca_fent","rate_01_25_ieepa","rate_02_01_increase"
"basic","447","0","0",,"False","False",,
"rev_1","451","4","0","10","False","False",,
"rev_2","451","4","0","10","False","False",,
"rev_3","459","12","0","10","True","True",,
"rev_4","475","16","0","10","True","True",,
"rev_5","475","16","0","10","True","True",,
"rev_6","479","16","0","10","True","True",,
"rev_7","523","60","0","10","True","True","10",
"rev_8","523","60","0","10","True","True","10",
"rev_9","523","60","0","10","True","True","10",
"rev_10","523","60","0","10","True","True","10",
"rev_11","525","60","0","10","True","True","10",
"rev_12","525","60","0","10","True","True","10",
"rev_13","525","60","0","10","True","True","10",
"rev_14","535","60","0","10","True","True","10",
"rev_15","535","60","0","10","True","True","10",
"rev_16","538","60","0","10","True","True","10",
"rev_17","541","61","0","10","True","True","10",
"rev_18","619","68","71","10","True","True","10","40"
"rev_19","619","68","71","10","True","True","10","40"
"rev_20","625","74","71","10","True","True","10","40"
"rev_21","625","74","71","10","True","True","10","40"
"rev_22","625","74","71","10","True","True","10","40"
"rev_23","632","74","73","10","True","True","10","40"
"rev_24","640","74","77","10","True","True","10","40"
"rev_25","647","74","77","10","True","True","10","40"
"rev_26","663","74","77","10","True","True","10","40"
"rev_27","668","74","77","10","True","True","10","40"
"rev_28","668","74","77","10","True","True","10","40"
"rev_29","669","74","78","10","True","True","10","40"
"rev_30","670","75","78","10","True","True","10","40"
"rev_31","670","75","78","10","True","True","10","40"
"rev_32","680","75","81","10","True","True","10","40"
