date,label,etr,total_imports_b,etr_tpc
2025-03-17,Fentanyl,0.182045710284298,1540.594012124,0.08000116093704918
2025-04-17,Liberation Day,0.15989577823945766,2705.614314349,0.23492093935854452
2025-07-17,S232 increase,0.16951722487030363,2679.919624378,0.1536546403300146
2025-10-17,Phase 2,0.21007699664452034,2678.831987321,0.18226519036392905
2025-11-17,Current,0.20777663049932849,2678.826596051,0.16160690293324848
