date,label,gtap_code,etr,total_imports,etr_tpc
2025-03-17,Fentanyl,b_t,0.21123293381096647,15005078140,0.09448500459224278
2025-03-17,Fentanyl,bph,0.16222912212922153,16868701195,0.015872094347231427
2025-03-17,Fentanyl,c_b,3.8006406541839157e-4,15338072,2.979689837530366e-4
2025-03-17,Fentanyl,chm,0.15132665766785117,45826279415,0.061926655469720336
2025-03-17,Fentanyl,cmt,0.016187985681442692,4684528376,0.006046132693413405
2025-03-17,Fentanyl,coa,0.1180643770606622,205728467,0.012119814207563334
2025-03-17,Fentanyl,ctl,0.010106214482022759,3105187388,0.008101660944427696
2025-03-17,Fentanyl,eeq,0.21954914562082803,133441481184,0.12080846427204722
2025-03-17,Fentanyl,ele,0.21468141693769718,223725174417,0.10040346034994503
2025-03-17,Fentanyl,ely,0.25,2289715638,0
2025-03-17,Fentanyl,fmp,0.27581303586182865,61377366661,0.23412477037514762
2025-03-17,Fentanyl,frs,0.2472761608670169,380987459,0.13338593658730608
2025-03-17,Fentanyl,fsh,0.25046848310567316,1599456183,0.12026582153228171
2025-03-17,Fentanyl,gas,0.10006645280363814,4944293273,9.47846654987108e-5
2025-03-17,Fentanyl,gro,0.1877785379493426,578318279,0.12282802296419228
2025-03-17,Fentanyl,i_s,0.2617066003083548,42606943204,0.22917068206893168
2025-03-17,Fentanyl,lea,0.22322145626663817,14329240067,0.08722655610304002
2025-03-17,Fentanyl,lum,0.2058391942514461,13929921916,0.12827926681547563
2025-03-17,Fentanyl,mil,0.006677589599084606,493350576,4.180372625780311e-4
2025-03-17,Fentanyl,mvh,0.1470301730728301,352655099231,0.0448954888965617
2025-03-17,Fentanyl,nfm,0.19448142421815343,41821741632,0.10640239336248068
2025-03-17,Fentanyl,nmm,0.19621388014564087,13302797894,0.09593376198206105
2025-03-17,Fentanyl,oap,0.2230338290751924,1156384967,0.1002604683095661
2025-03-17,Fentanyl,ocr,0.11566065800073036,1804253742,0.017211434746527605
2025-03-17,Fentanyl,ofd,0.12415467036973452,36076274755,0.05491588322520668
2025-03-17,Fentanyl,oil,0.08778598501143342,106956686984,0.010123776791608837
2025-03-17,Fentanyl,ome,0.2008195679848604,119602230853,0.09559063328289817
2025-03-17,Fentanyl,omf,0.24603607060132704,95838229883,0.11006122302101437
2025-03-17,Fentanyl,omt,0.11629199319490792,2221457672,0.06683258291252814
