date,label,partner,etr,import_share,etr_tpc
2025-03-17,Fentanyl,canada,0.11813062437879321,0.2538075301226913,0.0929779903563266
2025-03-17,Fentanyl,china,0.283050415146627,0.26897305362020796,0.30991304023277594
2025-03-17,Fentanyl,eu,0.22925670896998113,0.050949815925730224,0.009543956865122747
2025-03-17,Fentanyl,ftrow,0.2256393100016036,0.03529089764995395,0.0111807687384073
2025-03-17,Fentanyl,japan,0.23638739424393293,0.0325576604655548,0.01011410152362622
2025-03-17,Fentanyl,mexico,0.12771042349323877,0.31739777161073546,0.12818702772524793
2025-03-17,Fentanyl,row,0.18672842121280317,0.03199456493800307,0.012510855314281382
2025-03-17,Fentanyl,uk,0.2305107732710074,0.009028705667123183,0.009142926707466852
2025-04-17,Liberation Day,canada,0.11813062437879321,0.14451962316479772,0.0929953115149653
2025-04-17,Liberation Day,china,0.36388254218178423,0.1531549687745143,1.1373408245354486
2025-04-17,Liberation Day,eu,0.1328173114036729,0.11827524901493477,0.08453362833727332
2025-04-17,Liberation Day,ftrow,0.13004610591053387,0.08777845769201727,0.09549063609800171
2025-04-17,Liberation Day,japan,0.15115843800221132,0.051310397238345136,0.13644405042190436
2025-04-17,Liberation Day,mexico,0.12771042349323877,0.18072831142699441,0.12825583952586436
2025-04-17,Liberation Day,row,0.10824829024818439,0.24220122300087438,0.07340307368003
2025-04-17,Liberation Day,uk,0.1322708713468977,0.022031769687522032,0.10503290032567632
2025-07-17,S232 increase,canada,0.1522793561656739,0.14498765225325827,0.10667655363220072
2025-07-17,S232 increase,china,0.37009531956042474,0.15414899771775084,0.42416882958510155
2025-07-17,S232 increase,eu,0.13862771754597253,0.1179032676568932,0.10018055023704918
2025-07-17,S232 increase,ftrow,0.1359050675364214,0.08781350032638385,0.11575660587495346
2025-07-17,S232 increase,japan,0.15623781522356275,0.05164616197850483,0.16034475219064545
2025-07-17,S232 increase,mexico,0.13285471554464043,0.18084555845904743,0.13782511505925701
2025-07-17,S232 increase,row,0.11218789039284961,0.24047368184543022,0.09993747307230308
2025-07-17,S232 increase,uk,0.1368868390422652,0.02218117976273139,0.05244859665038915
2025-10-17,Phase 2,canada,0.1522793561656739,0.14504651893252163,0.14274892685793683
2025-10-17,Phase 2,china,0.37009531956042474,0.15421158401021365,0.44081462540460986
2025-10-17,Phase 2,eu,0.172139806853727,0.11757225541978691,0.09254774882605822
2025-10-17,Phase 2,ftrow,0.15413115245374587,0.08783013972753735,0.1378129906497686
2025-10-17,Phase 2,japan,0.18651492676741446,0.05165901549518023,0.1310354192062543
2025-10-17,Phase 2,mexico,0.13285471554464043,0.18091898386680158,0.15369743600635766
2025-10-17,Phase 2,row,0.2512000742118021,0.24057131696732148,0.18104419489416476
2025-10-17,Phase 2,uk,0.1368868390422652,0.022190185580637144,0.05810426899999611
2025-11-17,Current,canada,0.1522793561656739,0.1450468108457598,0.14240107722172568
2025-11-17,Current,china,0.37009531956042474,0.15421189436859511,0.34068317820544214
2025-11-17,Current,eu,0.172139806853727,0.11757249203972134,0.09203099383465597
2025-11-17,Current,ftrow,0.15413115245374587,0.08783031649000421,0.10411403504535464
2025-11-17,Current,japan,0.18651492676741446,0.05165911946148432,0.1316925358245959
2025-11-17,Current,mexico,0.13285471554464043,0.180919347975136,0.153636332576872
2025-11-17,Current,row,0.2416382609992644,0.2405697885798245,0.16462005619217127
2025-11-17,Current,uk,0.1368868390422652,0.02219023023947471,0.0603672689918363
